"釧","セン, くしろ, うでわ","bracelet"
"妃","ヒ, きさき","queen, princess"
"舶","ハク","liner, ship"
"餓","ガ, う.える","starve, hungry, thirst"
"腎","ジン","kidney"
"窮","キュウ, キョウ, きわ.める, きわ.まる, きわ.まり, きわ.み","hard up, destitute, suffer, perplexed, cornered"
"掌","ショウ, てのひら, たなごころ","palm of hand, rule, administer, conduct"
"麗","レイ, うるわ.しい, うら.らか","lovely, beautiful, graceful, resplendent"
"綾","リン, あや","design, figured cloth, twill"
"臭","シュウ, くさ.い, -くさ.い, にお.う, にお.い","stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright"
"釜","フ, かま","kettle, cauldron, iron pot"
"悦","エツ, よろこ.ぶ, よろこ.ばす","ecstasy, joy, rapture"
"刃","ジン, ニン, は, やいば, き.る","blade, sword, edge"
"縛","バク, しば.る","truss, arrest, bind, tie, restrain"
"暦","レキ, リャク, こよみ","calendar, almanac"
"宜","ギ, よろ.しい, よろ.しく","best regards, good"
"盲","モウ, めくら","blind, blind man, ignoramus"
"粋","スイ, いき","chic, style, purity, essence, pith, cream, elite, choice"
"辱","ジョク, はずかし.める","embarrass, humiliate, shame"
"毅","キ, ギ, つよ.い","strong"
"轄","カツ, くさび","control, wedge"
"猿","エン, さる","monkey"
"弦","ゲン, つる","bowstring, chord, hypotenuse"
"嶌","トウ, しま","island"
"稔","ネン, ジン, ニン, みの.る, みのり","harvest, ripen"
"窒","チツ","plug up, obstruct"
"炊","スイ, た.く, -だ.き","cook, boil"
"洪","コウ","deluge, flood, vast"
"摂","セツ, ショウ, おさ.める, かね.る, と.る","vicarious, surrogate, act in addition to, take in, absorb"
"飽","ホウ, あ.きる, あ.かす, あ.く","sated, tired of, bored, satiate"
"函","カン, はこ, い.れる","box (archaic)"
"冗","ジョウ","superfluous, uselessness"
"涼","リョウ, すず.しい, すず.む, すず.やか, うす.い, ひや.す, まことに","refreshing, nice and cool"
"桃","トウ, もも","peach"
"狩","シュ, か.る, か.り, -が.り","hunt, raid, gather"
"舟","シュウ, ふね, ふな-, -ぶね","boat, ship"
"貝","バイ, かい","shellfish"
"朱","シュ, あけ","vermilion, cinnabar, scarlet, red, bloody"
"渦","カ, うず","whirlpool, eddy, vortex"
"紳","シン","sire, good belt, gentleman"
"枢","スウ, シュ, とぼそ, からくり","hinge, pivot, door, center of things"
"碑","ヒ, いしぶみ","tombstone, monument"
"鍛","タン, きた.える","forge, discipline, train"
"刀","トウ, かたな, そり","sword, saber, knife"
"鼓","コ, つづみ","drum, beat, rouse, muster"
"裸","ラ, はだか","naked, nude, uncovered, partially clothed"
"鴨","オウ, かも, あひる","wild duck, easy mark"
"符","フ","token, sign, mark, tally, charm"
"猶","ユウ, ユ, なお","furthermore, still, yet"
"塊","カイ, ケ, かたまり, つちくれ","clod, lump, chunk, clot, mass"
"旋","セン, め.ぐる, いばり","rotation, go around"
"弓","キュウ, ゆみ","bow, bow (archery, violin)"
"幣","ヘイ, ぬさ","cash, bad habit, humble prefix, gift, Shinto offerings of cloth, rope, cut paper"
"膜","マク","membrane"
"扇","セン, おうぎ","fan, folding fan"
"脇","キョウ, わき, わけ","armpit, the other way, another place, flank, supporting role"
"腸","チョウ, はらわた, わた","intestines, guts, bowels, viscera"
"憎","ゾウ, にく.む, にく.い, にく.らしい, にく.しみ","hate, detest"
"槽","ソウ, ふね","vat, tub, tank"
"鍋","カ, なべ","pot, pan, kettle"
"慈","ジ, いつく.しむ","mercy"
"皿","ベイ, さら","dish, a helping, plate"
"肯","コウ, がえんじ.る","agreement, consent, comply with"
"樋","トウ, ひ, とい","water pipe, gutter, downspout, conduit"
"楊","ヨウ, やなぎ","willow"
"伐","バツ, ハツ, カ, ボチ, き.る, そむ.く, う.つ","fell, strike, attack, punish"
"駿","シュン, スン, すぐ.れる","a good horse, speed, a fast person"
"漬","シ, つ.ける, つ.かる, -づ.け, -づけ","pickling, soak, moisten, steep"
"燥","ソウ, はしゃ.ぐ","parch, dry up"
"糾","キュウ, ただ.す","twist, ask, investigate, verify"
"亮","リョウ, あきらか","clear, help"
"墳","フン","tomb, mound"
"坪","ヘイ, つぼ","two-mat area, approx. thirty-six sq ft"
"畜","チク","livestock, domestic fowl and animals"
"紺","コン","dark blue, navy"
"慌","コウ, あわ.てる, あわ.ただしい","disconcerted, be confused, lose one's head"
"娯","ゴ","recreation, pleasure"
"吾","ゴ, われ, わが-, あ-","I, my, our, one's own"
"椿","チン, チュン, つばき","camellia"
"舌","ゼツ, した","tongue, reed, clapper"
"羅","ラ, うすもの","gauze, thin silk, Rome, arrange, spread out"
"坊","ボウ, ボッ","boy, priest's residence, priest"
"峡","キョウ, コウ, はざま","gorge, ravine"
"俸","ホウ","stipend, salary"
"厘","リン","rin, 1/10 sen, 1/10 bu"
"峰","ホウ, みね, ね","summit, peak"
"圭","ケイ, ケ","square jewel, corner, angle, edge"
"醸","ジョウ, かも.す","brew, cause"
"蓮","レン, はす, はちす","lotus"
"弔","チョウ, とむら.う, とぶら.う","condolences, mourning, funeral"
"乙","オツ, イツ, おと-, きのと","the latter, duplicate, strange, witty, fishhook radical (no. 5)"
"倶","グ, ク, とも.に","both, together, alike"
"汁","ジュウ, しる, -しる, つゆ","soup, juice, broth, sap, gravy, pus"
"尼","ニ, あま","nun"
"遍","ヘン, あまね.く","everywhere, times, widely, generally"
"堺","カイ, さかい","world"
"衡","コウ","equilibrium, measuring rod, scale"
"呆","ホウ, ほけ.る, ぼ.ける, あき.れる, おろか","be amazed, disgusted, shocked"
"薫","クン, かお.る","send forth fragrance, fragrant, be scented, smoke (tobacco)"
"瓦","ガ, かわら, ぐらむ","tile, gram"
"猟","リョウ, かり, か.る","game-hunting, shooting, game, bag"
"羊","ヨウ, ひつじ","sheep"
"窪","ワ, ア, くぼ.む, くぼ.み, くぼ.まる, くぼ","depression, cave in, sink, become hollow"
"款","カン","goodwill, article, section, friendship, collusion"
"閲","エツ, けみ.する","review, inspection, revision"
"雀","ジャク, ジャン, サク, シャク, すずめ","sparrow"
"偵","テイ","spy"
"喝","カツ","hoarse, scold"
"敢","カン, あ.えて, あ.えない, あ.えず","daring, brave, bold, sad, tragic, pitiful"
"畠","はたけ, はた","field, farm, garden, (kokuji)"
"胎","タイ","womb, uterus"
"酵","コウ","fermentation"
"憤","フン, いきどお.る","aroused, resent, be indignant, anger"
"豚","トン, ぶた","pork, pig"
"遮","シャ, さえぎ.る","intercept, interrupt, obstruct"
"扉","ヒ, とびら","front door, title page, front page"
"硫","リュウ","sulphur"
"赦","シャ, ゆる.す","pardon, forgiveness"
"挫","ザ, サ, くじ.く, くじ.ける","crush, break, sprain, discourage"
"挟","キョウ, ショウ, はさ.む, はさ.まる, わきばさ.む, さしはさ.む","pinch, between"
"窃","セツ, ぬす.む, ひそ.か","stealth, steal, secret, private, hushed"
"泡","ホウ, あわ","bubbles, foam, suds, froth"
"瑞","ズイ, スイ, みず-, しるし","congratulations"
"又","ユウ, また, また-, また.の-","or again, furthermore, on the other hand"
"慨","ガイ, なげ.く","rue, be sad, sigh, lament"
"紡","ボウ, つむ.ぐ","spinning"
"恨","コン, うら.む, うら.めしい","regret, bear a grudge, resentment, malice, hatred"
"肪","ボウ","obese, fat"
"扶","フ, たす.ける","aid, help, assist"
"戯","ギ, ゲ, たわむ.れる, ざ.れる, じゃ.れる","frolic, play, sport"
"伍","ゴ, いつつ","five, five-man squad, file, line"
"忌","キ, い.む, い.み, い.まわしい","mourning, abhor, detestable, death anniversary"
"濁","ダク, ジョク, にご.る, にご.す","voiced, uncleanness, wrong, nigori, impurity"
"奔","ホン, はし.る","run, bustle"
"斗","ト, トウ","Big Dipper, ten sho (vol), sake dipper, dots and cross radical (no. 68)"
"蘭","ラン, ラ","orchid, Holland"
"蒲","ホ, ボ, フ, ブ, がま, かば, かま","bullrush, flag, cattail"
"迅","ジン","swift, fast"
"肖","ショウ, あやか.る","resemblance"
"鉢","ハチ, ハツ","bowl, rice tub, pot, crown"
"朽","キュウ, く.ちる","decay, rot, remain in seclusion"
"殻","カク, コク, バイ, から, がら","husk, nut shell"
"享","キョウ, コウ, う.ける","enjoy, receive, undergo, answer (phone), take, get, catch"
"秦","シン, はた","Manchu dynasty, name given to naturalized foreigners"
"茅","ボウ, ミョウ, かや, ちがや","miscanthus reed"
"藩","ハン","clan, enclosure"
"沙","サ, シャ, すな, よなげる","sand"
"輔","ホ, フ, たす.ける","help"
