"炒","ソウ, ショウ, い.る, いた.める","broil, parch, roast, fry"
"屏","ヘイ, ビョウ, おお.う, しりぞ.く, びょう.ぶ","wall, fence"
"卑","ヒ, いや.しい, いや.しむ, いや.しめる","lowly, base, vile, vulgar, despise"
"侮","ブ, あなど.る, あなず.る","scorn, despise, make light of, contempt"
"鋳","チュウ, イ, シュ, シュウ, い.る","casting, mint"
"抹","マツ","rub, paint, erase"
"尉","イ, ジョウ","military officer, jailer, old man, rank"
"槻","キ, つき","Zelkova tree"
"隷","レイ, したが.う, しもべ","slave, servant, prisoner, criminal, follower"
"禍","カ, わざわい","calamity, misfortune, evil, curse"
"蝶","チョウ","butterfly"
"酪","ラク","dairy products, whey, broth, fruit juice"
"茎","ケイ, キョウ, くき","stalk, stem"
"汎","ハン, ブ, フウ, ホウ, ホン, ただよ.う, ひろ.い","pan-"
"頃","ケイ, キョウ, ころ, ごろ, しばら.く","time, about, toward"
"帥","スイ","commander, leading troops, governor"
"梁","リョウ, はり, うつばり, うちばり, やな, はし","weir, fish trap, beam, girder"
"逝","セイ, ゆ.く, い.く","departed, die"
"滴","テキ, しずく, したた.る","drip, drop"
"汽","キ","vapor, steam"
"謎","メイ, ベイ, なぞ","riddle, puzzle, enigma, hint, tip"
"琢","タク, みが.く","polish"
"箕","キ, み","winnowing"
"匿","トク, かくま.う","hide, shelter, shield"
"爪","ソウ, つめ, つま-","claw, nail, talon"
"芭","バ, ハ","banana"
"逗","トウ, ズ, とど.まる","stop"
"苫","セン, とま","rush matting"
"鍵","ケン, かぎ","key"
"襟","キン, えり","collar, neck, lapel, one's inner feelings"
"蛍","ケイ, ほたる","lightning-bug, firefly"
"楢","シュウ, ユウ, なら","oak"
"蕉","ショウ","banana, plantain"
"兜","トウ, ト, かぶと","helmet, head piece"
"寡","カ","widow, minority, few"
"琉","リュウ, ル","precious stone, gem, lapis lazuli"
"痢","リ","diarrhea"
"庸","ヨウ","commonplace, ordinary, employment"
"朋","ホウ, とも","companion, friend"
"坑","コウ","pit, hole"
"姑","コ, しゅうとめ, しゅうと, おば, しばらく","mother-in-law"
"烏","ウ, オ, からす, いずくんぞ, なんぞ","crow, raven"
"藍","ラン, あい","indigo"
"僑","キョウ","expatriate, person living abroad, temporary home"
"賊","ゾク","burglar, rebel, traitor, robber"
"搾","サク, しぼ.る","squeeze"
"奄","エン, おお.う, たちまち","cover, suffocate, obstruct"
"臼","キュウ, グ, うす, うすづ.く","mortar"
"畔","ハン, あぜ, くろ, ほとり","paddy ridge, levee"
"遼","リョウ","distant"
"唄","バイ, うた, うた.う","song, ballad"
"孔","コウ, ク, あな","cavity, hole, slit, very, great, exceedingly"
"橘","キツ, たちばな","mandarin orange"
"漱","ソウ, シュウ, ス, くちすす.ぐ, くちそそ.ぐ, うがい, すす.ぐ","gargle, rinse mouth"
"呂","ロ, リョ, せぼね","spine, backbone"
"桧","カイ, ひのき, ひ","Japanese cypress"
"拷","ゴウ","torture, beat"
"宋","ソウ","dwell, Sung dynasty"
"嬢","ジョウ, むすめ","lass, girl, Miss, daughter"
"苑","エン, オン, その, う.つ","garden, farm, park"
"巽","ソン, たつみ","southeast"
"杜","ト, トウ, ズ, もり, ふさ.ぐ, やまなし","woods, grove"
"渓","ケイ, たに, たにがわ","mountain stream, valley"
"翁","オウ, おきな","venerable old man"
"藝","ゲイ, ウン, う.える, のり, わざ","art, craft, performance, acting, trick, stunt"
"廉","レン","bargain, reason, charge, suspicion, point, account, purity, honest, low price, cheap, rested, contented, peaceful"
"牙","ガ, ゲ, きば, は","tusk, fang, tusk radical (no. 92)"
"謹","キン, つつし.む","discreet, reverently, humbly"
"瞳","ドウ, トウ, ひとみ","pupil (of eye)"
"湧","ユウ, ヨウ, ユ, わ.く","boil, ferment, seethe, uproar, breed"
"欣","キン, ゴン, コン, よろこ.ぶ, よろこ.び","take pleasure in, rejoice"
"窯","ヨウ, かま","kiln, oven, furnace"
"褒","ホウ, ほ.める","praise, extol"
"醜","シュウ, みにく.い, しこ","ugly, unclean, shame, bad looking"
"魏","ギ, たか.い","high, large, Kingdom of Wei"
"篇","ヘン","volume, chapter, book, editing, compilation"
"升","ショウ, ます","measuring box, 1.8 liter"
"此","シ, これ, この, ここ","this, current, next, coming, last, past"
"峯","ホウ, みね, ね","peak, summit"
"殉","ジュン","martyrdom, follow by resigning"
"煩","ハン, ボン, わずら.う, わずら.わす, うるさ.がる, うるさ.い","anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome"
"巴","ハ, ともえ, うずまき","comma-design"
"禎","テイ, さいわ.い","happiness, blessed, good fortune, auspicious"
"枕","チン, シン, まくら","pillow"
"劾","ガイ","censure, criminal investigation"
"菩","ボ","kind of grass, sacred tree"
"堕","ダ, お.ちる, くず.す, くず.れる","degenerate, descend to, lapse into"
"丼","トン, タン, ショウ, セイ, どんぶり","bowl, bowl of food"
"租","ソ","tariff, crop tax, borrowing"
"檜","カイ, ひのき, ひ","Japanese cypress"
"稜","リョウ, ロウ, いつ, かど","angle, edge, corner, power, majesty"
"牟","ボウ, ム","pupil (eye), moo (cow sound)"
"桟","サン, セン, かけはし","scaffold, cleat, frame, jetty, bolt (door)"
"榊","さかき","sacred Shinto tree, (kokuji)"
"錫","セキ, シャク, すず, たま.う","copper, tin"
"荏","ジン, ニン","bean, perilla, herb, soft, pliable"
"惧","ク, グ, おそ.れる","fear, be afraid of, dread"
"倭","ワ, イ, やまと, したが.う","Yamato, ancient Japan"
"婿","セイ, むこ","bridegroom, son-in-law"
"慕","ボ, した.う","pining, yearn for, love dearly, adore"
"廟","ビョウ, ミョウ, たまや, みたまや, やしろ","mausoleum, shrine, palace"
"銚","チョウ, ヨウ, なべ","sake bottle"
"斐","ヒ, イ","beautiful, patterned"
"罷","ヒ, まか.り-, や.める","quit, stop, leave, withdraw, go"
"矯","キョウ, た.める","rectify, straighten, correct, reform, cure, control, pretend, falsify"
"某","ボウ, それがし, なにがし","so-and-so, one, a certain, that person"
"囚","シュウ, とら.われる","captured, criminal, arrest, catch"
"魁","カイ, さきがけ, かしら","charging ahead of others"
"薮","ソウ, やぶ","thicket, bush, underbrush, grove"
"虹","コウ, にじ","rainbow"
"鴻","コウ, ゴウ, おおとり, ひしくい, おおがり","large bird, wild goose, large, great, powerful, prosperous"
