"蒋","ショウ, ソウ, まこも, はげ.ます","reed"
"樟","ショウ, くす","camphor"
"耀","ヨウ, かがや.く, ひかり","shine, sparkle, gleam, twinkle"
"黛","タイ, まゆずみ","blackened eyebrows"
"叱","シツ, シチ, カ, しか.る","scold, reprove"
"櫛","シツ, くし, くしけず.る","comb"
"渥","アク, あつ.い, うるお.う","kindness, moisten"
"挨","アイ, ひら.く","approach, draw near, push open"
"憧","ショウ, トウ, ドウ, あこが.れる","yearn after, long for, aspire to, admire, adore"
"濡","ジュ, ニュ, ぬれ.る, ぬら.す, ぬ.れる, ぬ.らす, うるお.い, うるお.う, うるお.す","get wet, damp, make love"
"槍","ソウ, ショウ, やり","spear, lance, javelin"
"宵","ショウ, よい","wee hours, evening, early night"
"襄","ジョウ, ショウ, はら.う","rise, raise"
"妄","モウ, ボウ, みだ.りに","delusion, unnecessarily, without authority, reckless"
"惇","シュン, ジュン, トン, あつ.い","sincere, kind, considerate"
"蛋","タン","barbarian, egg"
"脩","シュウ, おさ.める, なが.い, ほじし","dried meat"
"笘","セン, チョウ","whip, cane, wooden writing slate"
"宍","ニク, ジク, しし","muscles, meat"
"甫","ホ, フ, はじ.めて","for the first time, not until"
"酌","シャク, く.む","bar-tending, serving sake, the host, draw (water), ladle, scoop, pump"
"蚕","サン, テン, かいこ, こ","silkworm"
"壕","コウ, ゴウ, ほり","trench, dugout, air raid shelter"
"嬉","キ, うれ.しい, たの.しむ","glad, pleased, rejoice"
"囃","サツ, ソウ, はや.す, はやし","play (music), accompany, beat time, banter, jeer, applaud"
"蒼","ソウ, あお.い","blue, pale"
"餌","ジ, ニ, え, えば, えさ, もち","food, bait, prey, tempting profit"
"簗","リョウ, やな","weir, fish trap, (kokuji)"
"峙","ジ, そばだ.つ","tower, soar"
"粥","イク, シュク, ジュク, かゆ, かい, ひさ.ぐ","rice gruel"
"舘","カン, やかた, たて","mansion, large building, palace"
"銕","テツ, くろがね","iron, strong, solid, firm"
"鄒","スウ, シュ, シュウ","place name"
"蜷","ケン, にな","an edible river snail"
"暉","キ, かが.やく","shine, light"
"捧","ホウ, ささ.げる","lift up, give, offer, consecrate, sacrifice, dedicate"
"頒","ハン, わ.かつ, わ.ける","distribute, disseminate, partition, understand"
"只","シ, ただ","only, free, in addition"
"肢","シ","limb, arms & legs"
"箏","ソウ, ショウ, こと","a koto"
"檀","ダン, タン, まゆみ","cedar, sandalwood, spindle tree"
"鵠","コク, コウ, くぐい, まと","swan"
"凱","ガイ, カイ, かちどき, やわらぐ","victory song"
"彗","スイ, エ, ケイ, セイ, ほうき","comet, broom"
"謄","トウ","mimeograph, copy"
"諌","カン, いさ.め, いさ.める","admonish, dissuade"
"樫","かし","evergreen oak, (kokuji)"
"噂","ソン, うわさ","rumor, gossip, hearsay"
"脊","セキ, せ, せい","stature, height, spine"
"牝","ヒン, めす, め-, めん","female"
"梓","シ, あずさ","catalpa tree, woodblock printing"
"洛","ラク","Kyoto, the capital"
"醍","ダイ, タイ, テイ","whey, good Buddhist teaching"
"砦","サイ, とりで","fort, stronghold, entrenchments"
