"良","リョウ, よ.い, -よ.い, い.い, -い.い","good, pleasing, skilled"
"響","キョウ, ひび.く","echo, sound, resound, ring, vibrate"
"阪","ハン, さか","heights, slope"
"帰","キ, かえ.る, かえ.す, おく.る, とつ.ぐ","homecoming, arrive at, lead to, result in"
"針","シン, はり","needle, pin, staple, stinger"
"専","セン, もっぱ.ら","specialty, exclusive, mainly, solely"
"推","スイ, お.す","conjecture, infer, guess, suppose, support, push (for)"
"谷","コク, たに, きわ.まる","valley"
"古","コ, ふる.い, ふる-, -ふる.す","old"
"候","コウ, そうろう","climate, season, weather, wait for, expect"
"史","シ","history, chronicle"
"天","テン, あまつ, あめ, あま-","heavens, sky, imperial"
"階","カイ, きざはし","storey, stair, counter for storeys of a building"
"程","テイ, ほど, -ほど","extent, degree, law, formula, distance, limits, amount"
"満","マン, バン, み.ちる, み.つ, み.たす","full, fullness, enough, satisfy"
"敗","ハイ, やぶ.れる","failure, defeat, reversal"
"管","カン, くだ","pipe, tube, wind instrument, drunken talk, control, jurisdiction"
"値","チ, ね, あたい","price, cost, value"
"歌","カ, うた, うた.う","song, sing"
"買","バイ, か.う","buy"
"突","トツ, カ, つ.く","stab, protruding, thrust, pierce, prick, collision, sudden"
"兵","ヘイ, ヒョウ, つわもの","soldier, private, troops, army, warfare, strategy, tactics"
"接","セツ, ショウ, つ.ぐ","touch, contact, adjoin, piece together"
"請","セイ, シン, ショウ, こ.う, う.ける","solicit, invite, ask"
"器","キ, うつわ","utensil, vessel, receptacle, implement, instrument, ability, container, tool, set"
"士","シ, さむらい","gentleman, scholar, samurai, samurai radical (no. 33)"
"光","コウ, ひか.る, ひかり","ray, light"
"討","トウ, う.つ","chastise, attack, defeat, destroy, conquer"
"路","ロ, ル, -じ, みち","path, route, road, distance"
"悪","アク, オ, わる.い, わる-, あ.し, にく.い, -にく.い, ああ, いずくに, いずくんぞ, にく.む","bad, vice, rascal, false, evil, wrong"
"科","カ","department, course, section"
"攻","コウ, せ.める","aggression, attack, criticize, polish"
"崎","キ, さき, さい, みさき","promontory, cape, spit"
"督","トク","coach, command, urge, lead, supervise"
"授","ジュ, さず.ける, さず.かる","impart, instruct, grant, confer"
"催","サイ, もよう.す, もよお.す","sponsor, hold (a meeting), give (a dinner)"
"細","サイ, ほそ.い, ほそ.る, こま.か, こま.かい","dainty, get thin, taper, slender, narrow, detailed, precise"
"効","コウ, き.く, ききめ, なら.う","merit, efficacy, efficiency, benefit"
"図","ズ, ト, え, はか.る","map, drawing, plan, extraordinary, audacious"
"週","シュウ","week"
"積","セキ, つ.む, -づ.み, つ.もる, つ.もり","volume, product (x*y), acreage, contents, pile up, stack, load, amass"
"丸","ガン, まる, まる.める, まる.い","round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away"
"他","タ, ほか","other, another, the others"
"及","キュウ, およ.ぶ, およ.び, および, およ.ぼす","reach out, exert, exercise, cause"
"湾","ワン, いりえ","gulf, bay, inlet"
"録","ロク, しる.す, と.る","record"
"処","ショ, ところ, -こ, お.る","dispose, manage, deal with, sentence, condemn, act, behave, place"
"省","セイ, ショウ, かえり.みる, はぶ.く","government ministry, conserve, omit"
"旧","キュウ, ふる.い, もと","old times, old things, old friend, former, ex-"
"室","シツ, むろ","room, apartment, chamber, greenhouse, cellar"
"憲","ケン","constitution, law"
"太","タイ, タ, ふと.い, ふと.る","plump, thick, big around"
"橋","キョウ, はし","bridge"
"歩","ホ, ブ, フ, ある.く, あゆ.む","walk, counter for steps"
"離","リ, はな.れる, はな.す","detach, separation, disjoin, digress"
"岸","ガン, きし","beach"
"客","キャク, カク","guest, visitor, customer, client"
"風","フウ, フ, かぜ, かざ-","wind, air, style, manner"
"紙","シ, かみ","paper"
"激","ゲキ, はげ.しい","violent, get excited, enraged, chafe, incite"
"否","ヒ, いな, いや","negate, no, noes, refuse, decline, deny"
"周","シュウ, まわ.り","circumference, circuit, lap"
"師","シ, いくさ","expert, teacher, master, model, exemplar, army (incl. counter), war"
"摘","テキ, つ.む","pinch, pick, pluck, trim, clip, summarize"
"材","ザイ","lumber, log, timber, wood, materials, ingredients, talent"
"登","トウ, ト, ドウ, ショウ, チョウ, のぼ.る, あ.がる","ascend, climb up"
"系","ケイ","lineage, system"
"批","ヒ","criticism, strike"
"郎","ロウ, リョウ, おとこ","son, counter for sons"
"母","ボ, はは, も","mother"
"易","エキ, イ, やさ.しい, やす.い","easy, ready to, simple, fortune-telling, divination"
"健","ケン, すこ.やか","healthy, health, strength, persistence"
"黒","コク, くろ, くろ.ずむ, くろ.い","black"
"火","カ, ひ, -び, ほ-","fire"
"戸","コ, と","door, counter for houses, door radical (no. 63)"
"速","ソク, はや.い, はや-, はや.める, すみ.やか","quick, fast"
"存","ソン, ゾン, ながら.える, あ.る, たも.つ, と.う","exist, suppose, be aware of, believe, feel"
"花","カ, ケ, はな","flower"
"春","シュン, はる","springtime, spring (season)"
"飛","ヒ, と.ぶ, と.ばす, -と.ばす","fly, skip (pages), scatter"
"殺","サツ, サイ, セツ, ころ.す, -ごろ.し, そ.ぐ, あや.める","kill, murder, butcher, slice off, split, diminish, reduce, spoil"
"央","オウ","center, middle"
"券","ケン","ticket"
"赤","セキ, シャク, あか, あか-, あか.い, あか.らむ, あか.らめる","red"
"号","ゴウ, さけ.ぶ, よびな","nickname, number, item, title, pseudonym, name, call"
"単","タン, ひとえ","simple, one, single, merely"
"盟","メイ","alliance, oath"
"座","ザ, すわ.る","squat, seat, cushion, gathering, sit"
"青","セイ, ショウ, あお, あお-, あお.い","blue, green"
"破","ハ, やぶ.る, やぶ.れる, わ.れる","rend, rip, tear, break, destroy, defeat, frustrate"
"編","ヘン, あ.む, -あ.み","compilation, knit, plait, braid, twist, editing, completed poem, part of a book"
"捜","ソウ, シュ, シュウ, さが.す","search, look for, locate"
"竹","チク, たけ","bamboo"
"除","ジョ, ジ, のぞ.く, -よ.け","exclude, division (x/3), remove, abolish, cancel, except"
"完","カン","perfect, completion, end"
"降","コウ, ゴ, お.りる, お.ろす, ふ.る, ふ.り, くだ.る, くだ.す","descend, precipitate, fall, surrender"
"超","チョウ, こ.える, こ.す","transcend, super-, ultra-"
"責","セキ, せ.める","blame, condemn, censure"
"並","ヘイ, ホウ, な.み, なみ, なら.べる, なら.ぶ, なら.びに","row, and, besides, as well as, line up, rank with, rival, equal"
"療","リョウ","heal, cure"
"従","ジュウ, ショウ, ジュ, したが.う, したが.える, より","accompany, obey, submit to, comply, follow, secondary, incidental, subordinate"
"右","ウ, ユウ, みぎ","right"
"修","シュウ, シュ, おさ.める, おさ.まる","discipline, conduct oneself well, study, master"
"捕","ホ, と.らえる, と.らわれる, と.る, とら.える, とら.われる, つか.まえる, つか.まる","catch, capture"
"隊","タイ","regiment, party, company, squad"
"危","キ, あぶ.ない, あや.うい, あや.ぶむ","dangerous, fear, uneasy"
"採","サイ, と.る","pick, take, fetch, take up"
"織","ショク, シキ, お.る, お.り, おり, -おり, -お.り","weave, fabric"
"森","シン, もり","forest, woods"
"競","キョウ, ケイ, きそ.う, せ.る, くら.べる","emulate, compete with, bid, sell at auction, bout, contest, race"
"拡","カク, コウ, ひろ.がる, ひろ.げる, ひろ.める","broaden, extend, expand, enlarge"
"故","コ, ゆえ, ふる.い, もと","happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently"
"館","カン, やかた, たて","building, mansion, large building, palace"
"振","シン, ふ.る, ふ.れる, ふ.るう","shake, wave, wag, swing"
"給","キュウ, たま.う, たも.う, -たま.え","salary, wage, gift, allow, grant, bestow on"
"屋","オク, や","roof, house, shop, dealer, seller"
"介","カイ","jammed in, shellfish, mediate, concern oneself with"
"読","ドク, トク, トウ, よ.む, -よ.み","read"
"弁","ベン, ヘン, かんむり, わきま.える, わ.ける, はなびら, あらそ.う","valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap"
"根","コン, ね, -ね","root, radical, head (pimple)"
"色","ショク, シキ, いろ","color"
"友","ユウ, とも","friend"
"苦","ク, くる.しい, -ぐる.しい, くる.しむ, くる.しめる, にが.い, にが.る","suffering, trial, worry, hardship, feel bitter, scowl"
"就","シュウ, ジュ, つ.く, つ.ける","concerning, settle, take position, depart, study, per"
"迎","ゲイ, むか.える","welcome, meet, greet"
"走","ソウ, はし.る","run"
"販","ハン","marketing, sell, trade"
"園","エン, その","park, garden, yard, farm"
"具","グ, そな.える, つぶさ.に","tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture"
"左","サ, シャ, ひだり","left"
"異","イ, こと, こと.なる, け","uncommon, different, queerness, strangeness, wonderful, curious, unusual"
"歴","レキ, レッキ","curriculum, continuation, passage of time"
"辞","ジ, や.める, いな.む","resign, word, term, expression"
"将","ショウ, ソウ, まさ.に, はた, まさ, ひきい.る, もって","leader, commander, general, admiral, or, and again, soon, from now on, just about"
"秋","シュウ, あき, とき","autumn"
"因","イン, よ.る, ちな.む","cause, factor, be associated with, depend on, be limited to"
"献","ケン, コン, たてまつ.る","offering, counter for drinks, present, offer"
"厳","ゲン, ゴン, おごそ.か, きび.しい, いか.めしい, いつくし","stern, strictness, severity, rigidity"
"馬","バ, うま, うま-, ま","horse"
"愛","アイ, いと.しい, かな.しい, め.でる, お.しむ, まな","love, affection, favourite"
"幅","フク, はば","hanging scroll, width"
"休","キュウ, やす.む, やす.まる, やす.める","rest, day off, retire, sleep"
"維","イ","fiber, tie, rope"
"富","フ, フウ, と.む, とみ","wealth, enrich, abundant"
"浜","ヒン, はま","seacoast, beach, seashore"
"父","フ, ちち","father"
"遺","イ, ユイ, のこ.す","bequeath, leave behind, reserve"
"彼","ヒ, かれ, かの, か.の","he, that, the"
"般","ハン","carrier, carry, all, general, sort, kind"
