"伊","イ, かれ","Italy, that one"
"智","チ","wisdom, intellect, reason"
"弘","コウ, グ, ひろ.い","vast, broad, wide"
"彦","ゲン, ひこ","lad, boy (ancient)"
"阿","ア, オ, おもね.る, くま","Africa, flatter, fawn upon, corner, nook, recess"
"李","リ, すもも","plum"
"浩","コウ, おおき.い, ひろ.い","wide expanse, abundance, vigorous"
"菱","リョウ, ひし","diamond (shape), water chestnut, rhombus"
"宏","コウ, ひろ.い","wide, large"
"幌","コウ, ほろ, とばり","canopy, awning, hood, curtain"
"之","シ, の, これ, ゆく, この","of, this"
"梶","ビ, かじ, こずえ","sculling oar"
"昌","ショウ, さかん","prosperous, bright, clear"
"靖","セイ, ジョウ, やす.んじる","peaceful"
"也","ヤ, エ, なり, か, また","to be (classical)"
"旭","キョク, あさひ","rising sun, morning sun"
"磯","キ, いそ","seashore, beach"
"孜","シ, つと.める","industriousness"
"笠","リュウ, かさ","bamboo hat, one's influence"
"聡","ソウ, さと.い, みみざと.い","wise, fast learner"
"曙","ショ, あけぼの","dawn, daybreak"
"筑","チク","an ancient musical instrument"
"萩","シュウ, はぎ","bush clover"
"栗","リツ, リ, くり, おののく","chestnut"
"嘉","カ, よみ.する, よい","applaud, praise, esteem, happy, auspicious"
"篠","ゾウ, ショウ, しの, ささ, すず","bamboo grass"
"菅","カン, ケン, すげ","sedge"
"俣","また","crotch, thigh, groin, fork, junction, (kokuji)"
"淵","エン, カク, コウ, ふち, かた.い, はなわ","abyss, edge, deep pool, the depths"
"辰","シン, ジン, たつ","sign of the dragon, 7-9AM, fifth sign of Chinese zodiac, shin dragon radical (no. 161)"
"霞","カ, ゲ, かすみ, かす.む","be hazy, grow dim, blurred"
"柏","ハク, ヒャク, ビャク, かしわ","oak, cypress"
"辻","つじ","crossing, crossroad, street corners, (kokuji)"
"淳","ジュン, シュン, あつ.い","pure"
"荻","テキ, おぎ","reed, rush"
"鳩","キュウ, ク, はと, あつ.める","pigeon, dove"
"柴","サイ, シ, しば","brush, firewood"
"桂","ケイ, かつら","Japanese Judas-tree, cinnamon tree"
"晋","シン, すす.む","advance"
"晃","コウ, あきらか","clear"
"桐","トウ, ドウ, きり","paulownia"
"鷹","ヨウ, オウ, たか","hawk"
"猪","チョ, い, いのしし","boar"
"紘","コウ, おおづな, つな, つなぐ","large"
"庄","ショウ, ソ, ソウ, ホウ","level, in the country, manor, village, hamlet"
"敦","トン, タイ, ダン, チョウ, あつ.い","industry, kindliness"
"磐","バン, ハン, いわ","rock, crag, cliff, wall (in a mine)"
"祐","ユウ, ウ, たす.ける","help"
"鵬","ホウ, おおとり","phoenix"
"亘","コウ, カン, セン, わた.る, もと.める","span, range, extend over"
"鄭","テイ, ジョウ","an ancient Chinese province"
"芦","ロ, あし, よし","reed, bullrush"
"笹","ささ","bamboo grass, (kokuji)"
"釧","セン, くしろ, うでわ","bracelet"
"綾","リン, あや","design, figured cloth, twill"
"毅","キ, ギ, つよ.い","strong"
"稔","ネン, ジン, ニン, みの.る, みのり","harvest, ripen"
"函","カン, はこ, い.れる","box (archaic)"
"鴨","オウ, かも, あひる","wild duck, easy mark"
"樋","トウ, ひ, とい","water pipe, gutter, downspout, conduit"
"楊","ヨウ, やなぎ","willow"
"駿","シュン, スン, すぐ.れる","a good horse, speed, a fast person"
"亮","リョウ, あきらか","clear, help"
"吾","ゴ, われ, わが-, あ-","I, my, our, one's own"
"椿","チン, チュン, つばき","camellia"
"圭","ケイ, ケ","square jewel, corner, angle, edge"
"蓮","レン, はす, はちす","lotus"
"堺","カイ, さかい","world"
"窪","ワ, ア, くぼ.む, くぼ.み, くぼ.まる, くぼ","depression, cave in, sink, become hollow"
"雀","ジャク, ジャン, サク, シャク, すずめ","sparrow"
"畠","はたけ, はた","field, farm, garden, (kokuji)"
"瑞","ズイ, スイ, みず-, しるし","congratulations"
"伍","ゴ, いつつ","five, five-man squad, file, line"
"蘭","ラン, ラ","orchid, Holland"
"蒲","ホ, ボ, フ, ブ, がま, かば, かま","bullrush, flag, cattail"
"秦","シン, はた","Manchu dynasty, name given to naturalized foreigners"
"茅","ボウ, ミョウ, かや, ちがや","miscanthus reed"
"輔","ホ, フ, たす.ける","help"
"湘","ショウ","name of Chinese river, the Sagami river"
"灘","タン, ダン, なだ, せ","open sea"
"堰","エン, せき, せ.く","dam, prevent, stop up"
"獅","シ, しし","lion"
"郁","イク","cultural progress, perfume"
"鷲","シュウ, ジュ, わし","eagle"
"楠","ナン, ダン, ゼン, ネン, くす, くすのき","camphor tree"
"芥","カイ, ケ, からし, ごみ, あくた","mustard, rape, dust, trash, rubbish"
"其","キ, ギ, ゴ, それ, その","that"
"玲","レイ","sound of jewels"
"翔","ショウ, かけ.る, と.ぶ","soar, fly"
"肇","チョウ, ジョウ, トウ, はじ.める, はじめ","beginning"
"榎","カ, えのき","lotus tree, nettle tree, hackberry"
"劉","リュウ, ル, ころ.す","weapon of war, logging axe, kill en masse, peeling (paint off a wall, etc), sparse, faded"
"幡","マン, ハン, バン, ホン, はた","flag"
"諏","シュ, ス, そう, はか.る","consult"
"亨","コウ, キョウ, ホウ, とお.る","pass through, go smoothly"
"嶺","レイ, リョウ, みね","peak, summit"
"喬","キョウ, たか.い","high, boasting"
"琵","ビ, ヒ","glissando on strings, lute"
"琶","ハ, ベ, ワ","lute"
"蘇","ソ, ス, よみがえ.る","be resuscitated, revived, perilla, shiso"
"寅","イン, とら","sign of the tiger, 3-5AM, third sign of Chinese zodiac"
"乃","ナイ, ダイ, ノ, アイ, の, すなわ.ち, なんじ","from, possessive particle, whereupon, accordingly"
"洲","シュウ, ス, しま","continent, sandbar, island, country"
"樽","ソン, たる","barrel, cask, keg"
"樺","カ, かば, かんば","birch, dark red"
"槙","テン, シン, まき, こずえ","twig, ornamental evergreen"
"薩","サツ, サチ","salvation, Buddha"
"巌","ガン, いわ, いわお, けわ.しい","rock, crag, boulder"
"淀","テン, デン, よど.む","pool, eddy"
"胡","ウ, コ, ゴ, なんぞ","barbarian, foreign"
"峻","シュン, けわ.しい, たか.い","high, steep"
"哨","ショウ, みはり","scout, sentinel"
"槻","キ, つき","Zelkova tree"
"蝶","チョウ","butterfly"
"梁","リョウ, はり, うつばり, うちばり, やな, はし","weir, fish trap, beam, girder"
"琢","タク, みが.く","polish"
"箕","キ, み","winnowing"
"芭","バ, ハ","banana"
"逗","トウ, ズ, とど.まる","stop"
"楢","シュウ, ユウ, なら","oak"
"蕉","ショウ","banana, plantain"
"兜","トウ, ト, かぶと","helmet, head piece"
