"日","ニチ, ジツ, ひ, -び, -か","day, sun, Japan, counter for days"
"一","イチ, イツ, ひと-, ひと.つ","one, one radical (no.1)"
"国","コク, くに","country"
"会","カイ, エ, あ.う, あ.わせる, あつ.まる","meeting, meet, party, association, interview, join"
"人","ジン, ニン, ひと, -り, -と","person"
"年","ネン, とし","year, counter for years"
"大","ダイ, タイ, おお-, おお.きい, -おお.いに","large, big"
"十","ジュウ, ジッ, ジュッ, とお, と, そ","ten"
"二","ニ, ジ, ふた, ふた.つ, ふたたび","two, two radical (no. 7)"
"本","ホン, もと","book, present, main, origin, true, real, counter for long cylindrical things"
"中","チュウ, なか, うち, あた.る","in, inside, middle, mean, center"
"長","チョウ, なが.い, おさ","long, leader, superior, senior"
"出","シュツ, スイ, で.る, -で, だ.す, -だ.す, い.でる, い.だす","exit, leave, go out, come out, put out, protrude"
"三","サン, ゾウ, み, み.つ, みっ.つ","three"
"同","ドウ, おな.じ","same, agree, equal"
"時","ジ, とき, -どき","time, hour"
"政","セイ, ショウ, まつりごと, まん","politics, government"
"事","ジ, ズ, こと, つか.う, つか.える","matter, thing, fact, business, reason, possibly"
"自","ジ, シ, みずか.ら, おの.ずから, おの.ずと","oneself"
"行","コウ, ギョウ, アン, い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう","going, journey, carry out, conduct, act, line, row, bank"
"社","シャ, やしろ","company, firm, office, association, shrine"
"見","ケン, み.る, み.える, み.せる","see, hopes, chances, idea, opinion, look at, visible"
"月","ゲツ, ガツ, つき","month, moon"
"分","ブン, フン, ブ, わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ","part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100"
"議","ギ","deliberation, consultation, debate, consideration"
"後","ゴ, コウ, のち, うし.ろ, うしろ, あと, おく.れる","behind, back, later"
"前","ゼン, まえ, -まえ","in front, before"
"民","ミン, たみ","people, nation, subjects"
"生","セイ, ショウ, い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う","life, genuine, birth"
"連","レン, つら.なる, つら.ねる, つ.れる, -づ.れ","take along, lead, join, connect, party, gang, clique"
"五","ゴ, いつ, いつ.つ","five"
"発","ハツ, ホツ, た.つ, あば.く, おこ.る, つか.わす, はな.つ","departure, discharge, publish, emit, start from, disclose, counter for gunshots"
"間","カン, ケン, あいだ, ま, あい","interval, space"
"対","タイ, ツイ, あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う","vis-a-vis, opposite, even, equal, versus, anti-, compare"
