"鎖","サ, くさり, とざ.す","chain, irons, connection"
"彩","サイ, いろど.る","coloring, paint, makeup"
"摩","マ, ま.する, さす.る, す.る","chafe, rub, polish, grind, scrape"
"浅","セン, あさ.い","shallow, superficial, frivolous, wretched, shameful"
"励","レイ, はげ.む, はげ.ます","encourage, be diligent, inspire"
"掃","ソウ, シュ, は.く","sweep, brush"
"雲","ウン, くも, -ぐも","cloud"
"掘","クツ, ほ.る","dig, delve, excavate"
"縦","ジュウ, たて","vertical, length, height, self-indulgent, wayward"
"輝","キ, かがや.く","radiance, shine, sparkle, gleam, twinkle"
"蓄","チク, たくわ.える","amass, raise, hoard, store"
"軸","ジク","axis, pivot, stem, stalk, counter for book scrolls"
"巡","ジュン, めぐ.る, めぐ.り","patrol, go around, circumference"
"疲","ヒ, つか.れる, -づか.れ, つか.らす","exhausted, tire, weary"
"稼","カ, かせ.ぐ","earnings, work, earn money"
"瞬","シュン, またた.く, まじろ.ぐ","wink, blink, twinkle"
"捨","シャ, す.てる","discard, throw away, abandon, resign, reject, sacrifice"
"皆","カイ, みな, みんな","all, everything"
"砲","ホウ","cannon, gun"
"軟","ナン, やわ.らか, やわ.らかい","soft"
"噴","フン, ふ.く","erupt, spout, emit, flush out"
"沈","チン, ジン, しず.む, しず.める","sink, be submerged, subside, be depressed, aloes"
"誇","コ, ほこ.る","boast, be proud, pride, triumphantly"
"祥","ショウ, さいわ.い, きざ.し, よ.い, つまび.らか","auspicious, happiness, blessedness, good omen, good fortune"
"牲","セイ","animal sacrifice, offering"
"秩","チツ","regularity, salary, order"
"帝","テイ, みかど","sovereign, the emperor, god, creator"
"宏","コウ, ひろ.い","wide, large"
"唆","サ, そそ.る, そそのか.す","tempt, seduce, instigate, promote"
"鳴","メイ, な.く, な.る, な.らす","chirp, cry, bark, sound, ring, echo, honk"
"阻","ソ, はば.む","thwart, separate from, prevent, obstruct, deter, impede"
"泰","タイ","peaceful, calm, peace, easy, Thailand, extreme, excessive, great"
"賄","ワイ, まかな.う","bribe, board, supply, finance"
"撲","ボク","slap, strike, hit, beat, tell, speak"
"凍","トウ, こお.る, こご.える, こご.る, い.てる, し.みる","frozen, congeal, refrigerate"
"堀","クツ, ほり","ditch, moat, canal"
"腹","フク, はら","abdomen, belly, stomach"
"菊","キク","chrysanthemum"
"絞","コウ, しぼ.る, し.める, し.まる","strangle, constrict, wring"
"乳","ニュウ, ちち, ち","milk, breasts"
"煙","エン, けむ.る, けむり, けむ.い","smoke"
"縁","エン, -ネン, ふち, ふち.どる, ゆかり, よすが, へり, えにし","affinity, relation, connection, edge, border, verge, brink"
"唯","ユイ, イ, ただ","solely, only, merely, simply"
"膨","ボウ, ふく.らむ, ふく.れる","swell, get fat, thick"
"矢","シ, や","dart, arrow"
"耐","タイ, た.える","-proof, enduring"
"恋","レン, こ.う, こい, こい.しい","romance, in love, yearn for, miss, darling"
"塾","ジュク","cram school, private school"
"漏","ロウ, も.る, も.れる, も.らす","leak, escape, time"
"紅","コウ, ク, べに, くれない, あか.い","crimson, deep red"
"慶","ケイ, よろこ.び","jubilation, congratulate, rejoice, be happy"
"猛","モウ","fierce, rave, rush, become furious, wildness, strength"
"芳","ホウ, かんば.しい","perfume, balmy, favorable, fragrant"
"懲","チョウ, こ.りる, こ.らす, こ.らしめる","penal, chastise, punish, discipline"
"郊","コウ","outskirts, suburbs, rural area"
"剣","ケン, つるぎ","sabre, sword, blade, clock hand"
"腰","ヨウ, こし","loins, hips, waist, low wainscoting"
"炭","タン, すみ","charcoal, coal"
"踊","ヨウ, おど.る","jump, dance, leap, skip"
"幌","コウ, ほろ, とばり","canopy, awning, hood, curtain"
"彰","ショウ","patent, clear"
"棋","キ, ご","chess piece, Japanese chess, shogi"
"丁","チョウ, テイ, チン, トウ, チ, ひのと","street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign"
"冊","サツ, サク, ふみ","tome, counter for books, volume"
"恒","コウ, つね, つねに","constancy, always"
"眠","ミン, ねむ.る, ねむ.い","sleep, die, sleepy"
"揚","ヨウ, あ.げる, -あ.げ, あ.がる","raise, elevate, hoist, praise, extol, fry in deep fat"
"冒","ボウ, おか.す","risk, face, defy, dare, damage, assume (a name)"
"之","シ, の, これ, ゆく, この","of, this"
"勇","ユウ, いさ.む","courage, cheer up, be in high spirits, bravery, heroism"
"曽","ソウ, ソ, ゾウ, かつ, かつて, すなわち","formerly, once, before, ever, never, ex-"
"械","カイ, かせ","contraption, fetter, machine, instrument"
"倫","リン","ethics, companion"
"陳","チン, ひ.ねる","exhibit, state, relate, explain"
"憶","オク","recollection, think, remember"
"怖","フ, ホ, こわ.い, こわ.がる, お.じる, おそ.れる","dreadful, be frightened, fearful"
"犬","ケン, いぬ, いぬ-","dog"
"菜","サイ, な","vegetable, side dish, greens"
"耳","ジ, みみ","ear"
"潜","セン, ひそ.む, もぐ.る, かく.れる, くぐ.る, ひそ.める","submerge, conceal, hide, lower (voice), hush"
"珍","チン, めずら.しい, たから","rare, curious, strange"
"梨","リ, なし","pear tree"
"仁","ジン, ニ, ニン","humanity, virtue, benevolence, charity, man, kernel"
"克","コク, か.つ","overcome, kindly, skillfully"
"岳","ガク, たけ","point, peak, mountain"
"概","ガイ, おおむ.ね","outline, condition, approximation, generally"
"拘","コウ, かか.わる","arrest, seize, concerned, adhere to, despite"
"墓","ボ, はか","grave, tomb"
