"闘","トウ, たたか.う, あらそ.う","fight, war"
"精","セイ, ショウ, しら.げる, くわ.しい","refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill"
"則","ソク, のっと.る, のり, すなわち","rule, law, follow, based on, model after"
"葬","ソウ, ほうむ.る","interment, bury, shelve"
"乱","ラン, ロン, みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る","riot, war, disorder, disturb"
"避","ヒ, さ.ける, よ.ける","evade, avoid, avert, ward off, shirk, shun"
"普","フ, あまね.く, あまねし","universal, wide(ly), generally, Prussia"
"散","サン, ち.る, ち.らす, -ち.らす, ち.らかす, ち.らかる, ち.らばる, ばら, ばら.ける","scatter, disperse, spend, squander"
"司","シ, つかさど.る","director, official, govt office, rule, administer"
"康","コウ","ease, peace"
"測","ソク, はか.る","fathom, plan, scheme, measure"
"豊","ホウ, ブ, ゆた.か, とよ","bountiful, excellent, rich"
"洋","ヨウ","ocean, sea, foreign, Western style"
"静","セイ, ジョウ, しず-, しず.か, しず.まる, しず.める","quiet"
"善","ゼン, よ.い, い.い, よ.く, よし.とする","virtuous, good, goodness"
"逮","タイ","apprehend, chase"
"婚","コン","marriage"
"厚","コウ, あつ.い, あか","thick, heavy, rich, kind, cordial, brazen, shameless"
"喜","キ, よろこ.ぶ, よろこ.ばす","rejoice, take pleasure in"
"齢","レイ, よわい, とし","age"
"囲","イ, かこ.む, かこ.う, かこ.い","surround, besiege, store, paling, enclosure, encircle, preserve, keep"
"卒","ソツ, シュツ, そっ.する, お.える, お.わる, ついに, にわか","graduate, soldier, private, die"
"迫","ハク, せま.る","urge, force, imminent, spur on"
"略","リャク, ほぼ, はぶ.く, おか.す, おさ.める, はかりごと, はか.る","abbreviation, omission, outline, shorten, capture, plunder"
"承","ショウ, ジョウ, うけたまわ.る, う.ける","acquiesce, hear, listen to, be informed, receive"
"浮","フ, う.く, う.かれる, う.かぶ, う.かべる","floating, float, rise to surface"
"惑","ワク, まど.う","beguile, delusion, perplexity"
"崩","ホウ, くず.れる, -くず.れ, くず.す","crumble, die, demolish, level"
"順","ジュン","obey, order, turn, right, docility, occasion"
"紀","キ","chronicle, account, narrative, history, annals, geologic period"
"聴","チョウ, テイ, き.く, ゆる.す","listen, headstrong, naughty, careful inquiry"
"脱","ダツ, ぬ.ぐ, ぬ.げる","undress, removing, escape from, get rid of, be left out, take off"
"旅","リョ, たび","trip, travel"
"絶","ゼツ, た.える, た.やす, た.つ","discontinue, sever, cut off, abstain, interrupt, suppress, be beyond, without match, peerless, unparalleled"
"級","キュウ","class, rank, grade"
"幸","コウ, さいわ.い, さち, しあわ.せ","happiness, blessing, fortune"
"岩","ガン, いわ","boulder, rock, cliff"
"練","レン, ね.る, ね.り","practice, gloss, train, drill, polish, refine"
"押","オウ, お.す, お.し-, お.っ-, お.さえる, おさ.える","push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of"
"軽","ケイ, キョウ, キン, かる.い, かろ.やか, かろ.んじる","lightly, trifling, unimportant"
"倒","トウ, たお.れる, -だお.れ, たお.す, さかさま, さかさ, さかしま","overthrow, fall, collapse, drop, break down"
"了","リョウ","complete, finish"
"庁","チョウ, テイ, やくしょ","government office"
"博","ハク, バク","Dr., command, esteem, win acclaim, Ph.D., exposition, fair"
"城","ジョウ, セイ, しろ","castle"
"患","カン, わずら.う","afflicted, disease, suffer from, be ill"
"締","テイ, し.まる, し.まり, し.める, -し.め, -じ.め","tighten, tie, shut, lock, fasten"
"等","トウ, ひと.しい, など, -ら","etc., and so forth, class (first), quality, equal, similar"
"救","キュウ, すく.う","salvation, save, help, rescue, reclaim"
"執","シツ, シュウ, と.る","tenacious, take hold, grasp, take to heart"
"層","ソウ","stratum, social class, layer, story, floor"
"版","ハン","printing block, printing plate, edition, impression, label"
"老","ロウ, お.いる, ふ.ける","old man, old age, grow old"
"令","レイ","orders, laws, command, decree, good"
"角","カク, かど, つの","angle, corner, square, horn, antlers"
"絡","ラク, から.む, から.まる","entwine, coil around, get caught in"
"損","ソン, そこ.なう, そこな.う, -そこ.なう, そこ.ねる, -そこ.ねる","damage, loss, disadvantage, hurt, injure"
"房","ボウ, ふさ","tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room"
"募","ボ, つの.る","recruit, campaign, gather (contributions), enlist, grow violent"
"曲","キョク, ま.がる, ま.げる, くま","bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean"
"撤","テツ","remove, withdraw, disarm, dismantle, reject, exclude"
"裏","リ, うら","back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side"
"払","フツ, ヒツ, ホツ, はら.う, -はら.い, -ばら.い","pay, clear out, prune, banish, dispose of"
"削","サク, けず.る, はつ.る, そ.ぐ","plane, sharpen, whittle, pare, shave"
"密","ミツ, ひそ.か","secrecy, density (pop), minuteness, carefulness"
"庭","テイ, にわ","courtyard, garden, yard"
"徒","ト, いたずら, あだ","on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people"
"措","ソ, お.く","set aside, give up, suspend, discontinue, lay aside, except"
"仏","ブツ, フツ, ほとけ","Buddha, the dead, France"
"績","セキ","exploits, achievements, unreeling cocoons"
"築","チク, きず.く","fabricate, build, construct"
"貨","カ, たから","freight, goods, property"
"志","シ, シリング, こころざ.す, こころざし","intention, plan, resolve, aspire, motive, hopes, shilling"
"混","コン, ま.じる, -ま.じり, ま.ざる, ま.ぜる, こ.む","mix, blend, confuse"
"載","サイ, の.せる, の.る","ride, board, get on, place, spread, 10**44, record, publish"
"昇","ショウ, のぼ.る","rise up"
"池","チ, いけ","pond, cistern, pool, reservoir"
"陣","ジン","camp, battle array, ranks, position, sudden, brief time"
"我","ガ, われ, わ, わ.が-, わが-","ego, I, selfish, our, oneself"
"勤","キン, ゴン, つと.める, -づと.め, つと.まる, いそ.しむ","diligence, become employed, serve"
"為","イ, ため, な.る, な.す, す.る, たり, つく.る, なり","do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of"
"血","ケツ, ち","blood"
"遅","チ, おく.れる, おく.らす, おそ.い","slow, late, back, later"
"抑","ヨク, おさ.える","repress, well, now, in the first place, push, shove, press, seal, do in spite of"
"幕","マク, バク, とばり","curtain, bunting, act of play"
"居","キョ, コ, い.る, -い, お.る","reside, to be, exist, live with"
"染","セン, そ.める, そ.まる, し.みる, し.み","dye, color, paint, stain, print"
"温","オン, あたた.か, あたた.かい, あたた.まる, あたた.める, ぬく","warm"
"雑","ザツ, ゾウ, まじ.える, まじ.る","miscellaneous"
"招","ショウ, まね.く","beckon, invite, summon, engage"
"奈","ナ, ナイ, ダイ, いかん, からなし","Nara, what?"
"季","キ","seasons"
"困","コン, こま.る","quandary, become distressed, annoyed"
"星","セイ, ショウ, ほし, -ぼし","star, spot, dot, mark"
"傷","ショウ, きず, いた.む, いた.める","wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point"
"永","エイ, なが.い","eternity, long, lengthy"
"択","タク, えら.ぶ","choose, select, elect, prefer"
"秀","シュウ, ひい.でる","excel, excellence, beauty, surpass"
"著","チョ, チャク, あらわ.す, いちじる.しい","renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work"
"徴","チョウ, チ, しるし","indications, sign, omen, symptom, collect, seek, refer to, question"
"誌","シ","document, records"
"庫","コ, ク, くら","warehouse, storehouse"
"弾","ダン, タン, ひ.く, -ひ.き, はず.む, たま, はじ.く, はじ.ける, ただ.す, はじ.きゆみ","bullet, twang, flip, snap"
"償","ショウ, つぐな.う","reparation, make up for, recompense, redeem"
"刊","カン","publish, carve, engrave"
"像","ゾウ","statue, picture, image, figure, portrait"
"功","コウ, ク, いさお","achievement, merits, success, honor, credit"
"拠","キョ, コ, よ.る","foothold, based on, follow, therefore"
"香","コウ, キョウ, か, かお.り, かお.る","incense, smell, perfume"
"欠","ケツ, ケン, か.ける, か.く","lack, gap, fail, yawning radical (no. 76)"
"更","コウ, さら, さら.に, ふ.ける, ふ.かす","grow late, night watch, sit up late, of course, renew, renovate, again, more and more, further"
"秘","ヒ, ひ.める, ひそ.か, かく.す","secret, conceal"
"拒","キョ, ゴ, こば.む","repel, refuse, reject, decline"
"刑","ケイ","punish, penalty, sentence, punishment"
"坂","ハン, さか","slope, incline, hill"
"刻","コク, きざ.む, きざ.み","engrave, cut fine, chop, hash, mince, time, carving"
"底","テイ, そこ","bottom, sole, depth, bottom price, base, kind, sort"
"賛","サン, たす.ける, たた.える","approve, praise, title or inscription on picture, assist, agree with"
"塚","チョウ, つか, -づか","hillock, mound"
"致","チ, いた.す","doth, do, send, forward, cause, exert, incur, engage"
"抱","ホウ, だ.く, いだ.く, かか.える","embrace, hug, hold in arms"
"繰","ソウ, く.る","winding, reel, spin, turn (pages), look up, refer to"
"服","フク","clothing, admit, obey, discharge"
"犯","ハン, ボン, おか.す","crime, sin, offense"
"尾","ビ, お","tail, end, counter for fish, lower slope of mountain"
"描","ビョウ, えが.く, か.く","sketch, compose, write, draw, paint"
"布","フ, ホ, ぬの, し.く, きれ","linen, cloth, spread, distribute"
"恐","キョウ, おそ.れる, おそ.る, おそ.ろしい, こわ.い, こわ.がる","fear, dread, awe"
"寺","ジ, てら","Buddhist temple"
"鈴","レイ, リン, すず","small bell, buzzer"
"盤","バン","tray, shallow bowl, platter, tub, board, phonograph record"
"息","ソク, いき","breath, respiration, son, interest (on money), rest, coming to an end"
"宇","ウ","eaves, roof, house, heaven"
"項","コウ, うなじ","paragraph, nape of neck, clause, item, term (expression)"
"喪","ソウ, も","miss, mourning"
"伴","ハン, バン, ともな.う","consort, accompany, bring with, companion"
"遠","エン, オン, とお.い","distant, far"
"養","ヨウ, リョウ, やしな.う","foster, bring up, rear, develop, nurture"
"懸","ケン, ケ, か.ける, か.かる","state of suspension, hang, depend, consult, distant, far apart"
"戻","レイ, もど.す, もど.る","re-, return, revert, resume, restore, go backwards"
"街","ガイ, カイ, まち","boulevard, street, town"
"巨","キョ","gigantic, big, large, great"
"震","シン, ふる.う, ふる.える, ふる.わせる, ふる.わす","quake, shake, tremble, quiver, shiver"
"願","ガン, ねが.う, -ねがい","petition, request, vow, wish, hope"
"絵","カイ, エ","picture, drawing, painting, sketch"
"希","キ, ケ, まれ, こいねが.う","hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal"
"越","エツ, オツ, こ.す, -こ.す, -ご.し, こ.える, -ご.え","surpass, cross over, move to, exceed, Vietnam"
"契","ケイ, ちぎ.る","pledge, promise, vow"
"掲","ケイ, かか.げる","put up (a notice), put up, hoist, display, hang out, publish, describe"
"躍","ヤク, おど.る","leap, dance, skip"
"棄","キ, す.てる","abandon, throw away, discard, resign, reject, sacrifice"
"欲","ヨク, ほっ.する, ほ.しい","longing, covetousness, greed, passion, desire, craving"
"痛","ツウ, いた.い, いた.む, いた.ましい, いた.める","pain, hurt, damage, bruise"
"触","ショク, ふ.れる, さわ.る, さわ","contact, touch, feel, hit, proclaim, announce, conflict"
"邸","テイ, やしき","residence, mansion"
"依","イ, エ, よ.る","reliant, depend on, consequently, therefore, due to"
"籍","セキ","enroll, domiciliary register, membership"
"汚","オ, けが.す, けが.れる, けが.らわしい, よご.す, よご.れる, きたな.い","dirty, pollute, disgrace, rape, defile"
"縮","シュク, ちぢ.む, ちぢ.まる, ちぢ.める, ちぢ.れる, ちぢ.らす","shrink, contract, shrivel, wrinkle, reduce"
"還","カン, かえ.る","send back, return"
"枚","マイ, バイ","sheet of..., counter for flat thin objects or sheets"
"属","ゾク, ショク, さかん, つく, やから","belong, genus, subordinate official, affiliated"
"笑","ショウ, わら.う, え.む","laugh"
"互","ゴ, たが.い, かたみ.に","mutually, reciprocally, together"
"複","フク","duplicate, double, compound, multiple"
"慮","リョ, おもんぱく.る, おもんぱか.る","prudence, thought, concern, consider, deliberate, fear"
"郵","ユウ","mail, stagecoach stop"
"束","ソク, たば, たば.ねる, つか, つか.ねる","bundle, sheaf, ream, tie in bundles, govern, manage, control"
"仲","チュウ, なか","go-between, relationship"
"栄","エイ, ヨウ, さか.える, は.え, -ば.え, は.える, え","flourish, prosperity, honor, glory, splendor"
"札","サツ, ふだ","tag, paper money, counter for bonds, placard, bid"
"枠","わく","frame, framework, spindle, spool, bounding-box, (kokuji)"
"似","ジ, に.る, ひ.る","becoming, resemble, counterfeit, imitate, suitable"
"夕","セキ, ゆう","evening"
"恵","ケイ, エ, めぐ.む, めぐ.み","favor, blessing, grace, kindness"
"板","ハン, バン, いた","plank, board, plate, stage"
"列","レツ, レ","file, row, rank, tier, column"
"露","ロ, ロウ, つゆ","dew, tears, expose, Russia"
"沖","チュウ, おき, おきつ, ちゅう.する, わく","open sea, offing, rise high into sky"
"探","タン, さぐ.る, さが.す","grope, search, look for"
