"亜","ア, つ.ぐ","Asia, rank next, come after, -ous"
"哀","アイ, あわ.れ, あわ.れむ, かな.しい","pathetic, grief, sorrow, pathos, pity, sympathize"
"挨","アイ, ひら.く","approach, draw near, push open"
"愛","アイ, いと.しい, かな.しい, め.でる, お.しむ, まな","love, affection, favourite"
"曖","アイ, くら.い","dark, not clear"
"悪","アク, オ, わる.い, わる-, あ.し, にく.い, -にく.い, ああ, いずくに, いずくんぞ, にく.む","bad, vice, rascal, false, evil, wrong"
"握","アク, にぎ.る","grip, hold, mould sushi, bribe"
"圧","アツ, エン, オウ, お.す, へ.す, おさ.える, お.さえる","pressure, push, overwhelm, oppress, dominate"
"扱","ソウ, キュウ, あつか.い, あつか.う, あつか.る, こ.く","handle, entertain, thresh, strip"
"宛","エン, あ.てる, -あて, -づつ, あたか.も","address, just like, fortunately"
"嵐","ラン, あらし","storm, tempest"
"安","アン, やす.い, やす.まる, やす, やす.らか","relax, cheap, low, quiet, rested, contented, peaceful"
"案","アン, つくえ","plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench"
"暗","アン, くら.い, くら.む, くれ.る","darkness, disappear, shade, informal, grow dark, be blinded"
"以","イ, もっ.て","by means of, because, in view of, compared with"
"衣","イ, エ, ころも, きぬ, -ぎ","garment, clothes, dressing"
"位","イ, くらい, ぐらい","rank, grade, throne, crown, about, some"
"囲","イ, かこ.む, かこ.う, かこ.い","surround, besiege, store, paling, enclosure, encircle, preserve, keep"
"医","イ, い.やす, い.する, くすし","doctor, medicine"
"依","イ, エ, よ.る","reliant, depend on, consequently, therefore, due to"
"委","イ, ゆだ.ねる","committee, entrust to, leave to, devote, discard"
"威","イ, おど.す, おど.し, おど.かす","intimidate, dignity, majesty, menace, threaten"
"為","イ, ため, な.る, な.す, す.る, たり, つく.る, なり","do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of"
"畏","イ, おそ.れる, かしこま.る, かしこ, かしこ.し","fear, majestic, graciously, be apprehensive"
"胃","イ","stomach, paunch, crop, craw"
"尉","イ, ジョウ","military officer, jailer, old man, rank"
"異","イ, こと, こと.なる, け","uncommon, different, queerness, strangeness, wonderful, curious, unusual"
"移","イ, うつ.る, うつ.す","shift, move, change, drift, catch (cold, fire), pass into"
"萎","イ, な, しお.れる, しな.びる, しぼ.む, な.える","wither, droop, lame"
"偉","イ, えら.い","admirable, greatness, remarkable, conceited, famous, excellent"
"椅","イ","chair"
"彙","イ, はりねずみ","same kind, collect, classify, category, hedgehog"
"意","イ","idea, mind, heart, taste, thought, desire, care, liking"
"違","イ, ちが.う, ちが.い, ちが.える, -ちが.える, たが.う, たが.える","difference, differ"
"維","イ","fiber, tie, rope"
"慰","イ, なぐさ.める, なぐさ.む","consolation, amusement, seduce, cheer, make sport of, comfort, console"
"遺","イ, ユイ, のこ.す","bequeath, leave behind, reserve"
"緯","イ, よこいと, ぬき","horizontal, woof, left & right, (parallels of) latitude, prediction"
"域","イキ","range, region, limits, stage, level"
"育","イク, そだ.つ, そだ.ち, そだ.てる, はぐく.む","bring up, grow up, raise, rear"
"一","イチ, イツ, ひと-, ひと.つ","one, one radical (no.1)"
"壱","イチ, イツ, ひとつ","one (in documents)"
"逸","イツ, そ.れる, そ.らす, はぐ.れる","deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge"
"茨","シ, ジ, いばら, かや, くさぶき","briar, thorn"
"芋","ウ, いも","potato"
"引","イン, ひ.く, ひ.ける","pull, tug, jerk, admit, install, quote, refer to"
"印","イン, しるし, -じるし, しる.す","stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India"
"因","イン, よ.る, ちな.む","cause, factor, be associated with, depend on, be limited to"
"咽","イン, エン, エツ, むせ.ぶ, むせ.る, のど, の.む","throat, choked, smothered, stuffy"
"姻","イン","matrimony, marry"
"員","イン","employee, member, number, the one in charge"
