"俵","ヒョウ, たわら","bag, bale, sack, counter for bags"
"句","ク","phrase, clause, sentence, passage, paragraph, counter for haiku"
"墓","ボ, はか","grave, tomb"
"属","ゾク, ショク, さかん, つく, やから","belong, genus, subordinate official, affiliated"
"幹","カン, みき","tree trunk, main part, talent, capability"
"序","ジョ, つい.で, ついで","preface, beginning, order, precedence, occasion, chance, incidentally"
"弁","ベン, ヘン, かんむり, わきま.える, わ.ける, はなびら, あらそ.う","valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap"
"往","オウ, い.く, いにしえ, さき.に, ゆ.く","journey, travel, chase away, let go, going, before, formerly"
"徳","トク","benevolence, virtue, goodness, commanding respect"
"恩","オン","grace, kindness, goodness, favor, mercy, blessing, benefit"
"態","タイ, わざ.と","attitude, condition, figure, appearance, voice (of verbs)"
"提","テイ, チョウ, ダイ, さ.げる","propose, take along, carry in hand"
"敵","テキ, かたき, あだ, かな.う","enemy, foe, opponent"
"桜","オウ, ヨウ, さくら","cherry"
"潔","ケツ, いさぎよ.い","undefiled, pure, clean, righteous, gallant"
"災","サイ, わざわ.い","disaster, calamity, woe, curse, evil"
"益","エキ, ヤク, ま.す","benefit, gain, profit, advantage"
"眼","ガン, ゲン, まなこ, め","eyeball"
"素","ソ, ス, もと","elementary, principle, naked, uncovered"
"統","トウ, す.べる","overall, relationship, ruling, governing"
"織","ショク, シキ, お.る, お.り, おり, -おり, -お.り","weave, fabric"
"義","ギ","righteousness, justice, morality, honor, loyalty, meaning"
"肥","ヒ, こ.える, こえ, こ.やす, こ.やし, ふと.る","fertilizer, get fat, fertile, manure, pamper"
"興","コウ, キョウ, おこ.る, おこ.す","entertain, revive, retrieve, interest, pleasure"
"舌","ゼツ, した","tongue, reed, clapper"
"舎","シャ, セキ, やど.る","cottage, inn, hut, house, mansion"
"衛","エイ, エ","defense, protection"
"証","ショウ, あかし","evidence, proof, certificate"
"謝","シャ, あやま.る","apologize, thank, refuse"
"護","ゴ, まも.る","safeguard, protect"
"賀","ガ","congratulations, joy"
"酸","サン, す.い","acid, bitterness, sour, tart"
"銭","セン, ゼン, ぜに, すき","coin, .01 yen, money"
"飼","シ, か.う","domesticate, raise, keep, feed"
"仁","ジン, ニ, ニン","humanity, virtue, benevolence, charity, man, kernel"
"俳","ハイ","haiku, actor"
"傷","ショウ, きず, いた.む, いた.める","wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point"
"創","ソウ, ショウ, つく.る, はじ.める, きず, けず.しける","genesis, wound, injury, hurt, start, originate"
"厳","ゲン, ゴン, おごそ.か, きび.しい, いか.めしい, いつくし","stern, strictness, severity, rigidity"
"后","コウ, ゴ, きさき","empress, queen, after, behind, back, later"
"垂","スイ, た.れる, た.らす, た.れ, -た.れ, なんなんと.す","droop, suspend, hang, slouch"
"奏","ソウ, かな.でる","play music, speak to a ruler, complete"
"奮","フン, ふる.う","stirred up, be invigorated, flourish"
"姿","シ, すがた","figure, form, shape"
"宗","シュウ, ソウ, むね","religion, sect, denomination, main point, origin, essence"
"宣","セン, のたま.う","proclaim, say, announce"
"密","ミツ, ひそ.か","secrecy, density (pop), minuteness, carefulness"
"寸","スン","measurement, tenth of a shaku, a little, small"
"射","シャ, い.る, さ.す, う.つ","shoot, shine into, onto, archery"
"就","シュウ, ジュ, つ.く, つ.ける","concerning, settle, take position, depart, study, per"
"尺","シャク, セキ, さし","shaku, Japanese foot, measure, scale, rule"
"己","コ, キ, おのれ, つちのと, な","self"
"幕","マク, バク, とばり","curtain, bunting, act of play"
"従","ジュウ, ショウ, ジュ, したが.う, したが.える, より","accompany, obey, submit to, comply, follow, secondary, incidental, subordinate"
"忠","チュウ","loyalty, fidelity, faithfulness"
"憲","ケン","constitution, law"
"我","ガ, われ, わ, わ.が-, わが-","ego, I, selfish, our, oneself"
"推","スイ, お.す","conjecture, infer, guess, suppose, support, push (for)"
"揮","キ, ふる.う","brandish, wave, wag, swing, shake"
"朗","ロウ, ほが.らか, あき.らか","melodious, clear, bright, serene, cheerful"
"染","セン, そ.める, そ.まる, し.みる, し.み","dye, color, paint, stain, print"
"株","シュ, かぶ","stocks, stump, shares, stock, counter for small plants"
"模","モ, ボ","imitation, copy, mock"
"樹","ジュ, き","timber, trees, wood, establish, set up"
"沿","エン, そ.う, -ぞ.い","run alongside, follow along, run along, lie along"
"派","ハ","faction, group, party, clique, sect, school"
"源","ゲン, みなもと","source, origin"
"潮","チョウ, しお, うしお","tide, salt water, opportunity"
"激","ゲキ, はげ.しい","violent, get excited, enraged, chafe, incite"
"熟","ジュク, う.れる","mellow, ripen, mature, acquire skill"
"班","ハン","squad, corps, unit, group"
"皇","コウ, オウ","emperor"
"盛","セイ, ジョウ, も.る, さか.る, さか.ん","boom, prosper, copulate"
"盟","メイ","alliance, oath"
"磁","ジ","magnet, porcelain"
"秘","ヒ, ひ.める, ひそ.か, かく.す","secret, conceal"
"穀","コク","cereals, grain"
"穴","ケツ, あな","hole, aperture, slit, cave, den"
"筋","キン, すじ","muscle, sinew, tendon, fiber, plot, plan, descent"
"策","サク","scheme, plan, policy, step, means"
"糖","トウ","sugar"
"系","ケイ","lineage, system"
"納","ノウ, ナッ, ナ, ナン, トウ, おさ.める, -おさ.める, おさ.まる","settlement, obtain, reap, pay, supply, store"
"絹","ケン, きぬ","silk"
"縦","ジュウ, たて","vertical, length, height, self-indulgent, wayward"
"縮","シュク, ちぢ.む, ちぢ.まる, ちぢ.める, ちぢ.れる, ちぢ.らす","shrink, contract, shrivel, wrinkle, reduce"
"聖","セイ, ショウ, ひじり","holy, saint, sage, master, priest"
"肺","ハイ","lungs"
"臨","リン, のぞ.む","look to, face, meet, confront, attend, call on"
"至","シ, いた.る","climax, arrive, proceed, reach, attain, result in"
"蚕","サン, テン, かいこ, こ","silkworm"
"衆","シュウ, シュ, おお.い","masses, great numbers, multitude, populace"
"裁","サイ, た.つ, さば.く","tailor, judge, decision, cut out (pattern)"
"視","シ, み.る","inspection, regard as, see, look at"
"覧","ラン, み.る","perusal, see"
"討","トウ, う.つ","chastise, attack, defeat, destroy, conquer"
"訳","ヤク, わけ","translate, reason, circumstance, case"
"誕","タン","nativity, be born, declension, lie, be arbitrary"
"誠","セイ, まこと","sincerity, admonish, warn, prohibit, truth, fidelity"
"貴","キ, たっと.い, とうと.い, たっと.ぶ, とうと.ぶ","precious, value, prize, esteem, honor"
"遺","イ, ユイ, のこ.す","bequeath, leave behind, reserve"
"郷","キョウ, ゴウ, さと","home town, village, native place, district"
"鋼","コウ, はがね","steel"
"閣","カク","tower, tall building, palace"
"陛","ヘイ","highness, steps (of throne)"
"障","ショウ, さわ.る","hinder, hurt, harm"
"企","キ, くわだ.てる, たくら.む","undertake, scheme, design, attempt, plan"
"藤","トウ, ドウ, ふじ","wisteria"
"沢","タク, さわ, うるお.い, うるお.す, つや","swamp, marsh, brilliance, grace"
"援","エン","abet, help, save"
"施","シ, セ, ほどこ.す","give, bestow, perform, alms"
"井","セイ, ショウ, い","well, well crib, town, community"
