"八","ハチ, ハツ, や, や.つ, やっ.つ, よう","eight, eight radical (no. 12)"
"公","コウ, ク, おおやけ","public, prince, official, governmental"
"六","ロク, リク, む, む.つ, むっ.つ, むい","six"
"兮","ケイ","auxiliary word for euphony or emphasis"
"共","キョウ, とも, とも.に, -ども","together, both, neither, all, and, alike, with"
"兵","ヘイ, ヒョウ, つわもの","soldier, private, troops, army, warfare, strategy, tactics"
"具","グ, そな.える, つぶさ.に","tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture"
"其","キ, ギ, ゴ, それ, その","that"
"典","テン, デン, ふみ, のり","code, ceremony, law, rule"
"兼","ケン, か.ねる, -か.ねる","concurrently, and, beforehand, in advance"
"冀","キ, こいねが.う, こいねが.わくは","hope for, wish, Hebei province"
