"乙","オツ, イツ, おと-, きのと","the latter, duplicate, strange, witty, fishhook radical (no. 5)"
"九","キュウ, ク, ここの, ここの.つ","nine"
"乞","コツ, キツ, キ, キケ, コチ, こ.う","beg, invite, ask"
"也","ヤ, エ, なり, か, また","to be (classical)"
"乢","ガイ, たわ, たお","mountain saddle"
"乱","ラン, ロン, みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る","riot, war, disorder, disturb"
"乳","ニュウ, ちち, ち","milk, breasts"
"乾","カン, ケン, かわ.く, かわ.かす, ほ.す, ひ.る, いぬい","drought, dry, dessicate, drink up, heaven, emperor"
"亀","キ, キュウ, キン, かめ","tortoise, turtle"
"亂","ラン, ロン, みだ.れる, みだ.る, みだ.す, みだ.れ, おさ.める, わた.る","war, disorder, riot, disturb"
