"二","ニ, ジ, ふた, ふた.つ, ふたたび","two, two radical (no. 7)"
"于","ウ, ク, ここに, ああ, おいて, に, より, を","going, from"
"井","セイ, ショウ, い","well, well crib, town, community"
"云","ウン, い.う, ここに","say"
"五","ゴ, いつ, いつ.つ","five"
"互","ゴ, たが.い, かたみ.に","mutually, reciprocally, together"
"亙","コウ, カン, わた.る, もと.める","range, reach, extend, cover"
"亘","コウ, カン, セン, わた.る, もと.める","span, range, extend over"
"亜","ア, つ.ぐ","Asia, rank next, come after, -ous"
"些","サ, シャ, ち.と, ち.っと, いささか","a little bit, sometimes"
"亞","ア, つ.ぐ","rank, follow"
"亟","キョク, キ, ケ, しばしば, すみやか","fast, quick, sudden"
