"亠","トウ","kettle lid radical (no. 8)"
"亡","ボウ, モウ, な.い, な.き-, ほろ.びる, ほろ.ぶ, ほろ.ぼす","deceased, the late, dying, perish"
"亢","コウ, たかぶる","high spirits"
"亥","ガイ, カイ, い","sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac"
"交","コウ, まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも","mingle, mixing, association, coming & going"
"亦","エキ, ヤク, また","also, again"
"亨","コウ, キョウ, ホウ, とお.る","pass through, go smoothly"
"享","キョウ, コウ, う.ける","enjoy, receive, undergo, answer (phone), take, get, catch"
"京","キョウ, ケイ, キン, みやこ","capital, 10**16"
"亭","テイ, チン","pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name"
"亮","リョウ, あきらか","clear, help"
"亰","キョウ, ケイ, キン, みやこ","capital city"
"亳","ハク","an ancient Chinese capital"
"亶","タン, セン, あつ.い, ほしいまま","truly, wholly, cordial"
