"人","ジン, ニン, ひと, -り, -と","person"
"介","カイ","jammed in, shellfish, mediate, concern oneself with"
"仇","キュウ, グ, あだ, あた, かたき, つれあい","foe, enemy, revenge, grudge, feud"
"今","コン, キン, いま","now"
"什","ジュウ, シュウ","utensil, thing, ten"
"仁","ジン, ニ, ニン","humanity, virtue, benevolence, charity, man, kernel"
"仏","ブツ, フツ, ほとけ","Buddha, the dead, France"
"从","ショウ, ジュウ, ジュ, したが.う, したが.える, より","two people"
"仍","ジョウ, ニョウ, よ.って, しきりに, なお, よる","therefore, consequently"
"仄","ソク, ほの.か, ほの-, ほの.めかす, ほの.めく, かたむ.く","be seen dimly, suggest, intimate, faint, stupid, hint"
"仆","フ, たお.れる","fall, lie down, bend"
"仂","ドウ, リュク, リキ, ロク, リョク, はたら.く","surplus or excess, remainder"
"以","イ, もっ.て","by means of, because, in view of, compared with"
"仕","シ, ジ, つか.える","attend, doing, official, serve"
"仔","シ, こ, た.える","offspring (animal), detailed, fine"
"仙","セン, セント","hermit, wizard, cent"
"他","タ, ほか","other, another, the others"
"代","ダイ, タイ, か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ","substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee"
"付","フ, つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき","adhere, attach, refer to, append"
"令","レイ","orders, laws, command, decree, good"
"仗","ジョウ, チョウ, つえ, つわもの, まわり, よる","cane, stick"
"仞","ジン, はか.る","fathom"
"仭","ジン, はか.る","fathom"
"仟","セン, ち, かしら","thousand"
"伊","イ, かれ","Italy, that one"
"仮","カ, ケ, かり, かり-","sham, temporary, interim, assumed (name), informal"
"会","カイ, エ, あ.う, あ.わせる, あつ.まる","meeting, meet, party, association, interview, join"
"企","キ, くわだ.てる, たくら.む","undertake, scheme, design, attempt, plan"
"伎","ギ, キ, わざ, わざおぎ","deed, skill"
"休","キュウ, やす.む, やす.まる, やす.める","rest, day off, retire, sleep"
