"冫","ヒョウ, こおり","two-stroke water radical or ice radical (no. 15)"
"冬","トウ, ふゆ","winter"
"决","ケチ, ケツ, き.める, き.まる, さ.く","decide, determine, judge"
"冱","ゴ, コ, さ.える, こお.る, ひ.える","freeze, be cold, be clear, attain skill"
"冲","チュウ, おき, おきつ, ちゅう.する, わく","offing, open sea, rise high into sky"
"冰","ヒョウ, こおり, ひ, こお.る","ice, hail"
"冴","ゴ, コ, さ.える, こお.る, ひ.える","be clear, serene, cold, skilful"
"冶","ヤ, い.る","melting, smelting"
"冷","レイ, つめ.たい, ひ.える, ひ.や, ひ.ややか, ひ.やす, ひ.やかす, さ.める, さ.ます","cool, cold (beer, person), chill"
"况","キョウ, まし.て, いわ.んや, おもむき","still more, still less"
"冽","レツ, レイ, きよ.い","cold"
"准","ジュン","quasi-, semi-, associate"
"凄","セイ, サイ, さむ.い, すご.い, すさ.まじい","uncanny, weird, threatening, horrible"
"凋","チョウ, しぼ.む","wither, droop, lame"
"凍","トウ, こお.る, こご.える, こご.る, い.てる, し.みる","frozen, congeal, refrigerate"
"凌","リョウ, しの.ぐ","endure, keep (rain)out, stave off, tide over, defy, slight, surpass"
"凉","リョウ, すず.しい, すず.む, すず.やか, うす.い, ひや.す, まことに","nice and cool"
"凖","ジュン, じゅん.じる, じゅん.ずる, なぞら.える, のり, ひと.しい, みずもり","correspond to, proportionate to, conform, imitate"
"凛","リン, きびし.い","cold, strict, severe"
"凜","リン, きびし.い","cold, strict, severe"
"凝","ギョウ, こ.る, こ.らす, こご.らす, こご.らせる, こご.る","congeal, freeze, stiff, be absorbed in"
