"力","リョク, リキ, リイ, ちから","power, strength, strong, strain, bear up, exert"
"加","カ, くわ.える, くわ.わる","add, addition, increase, join, include, Canada"
"功","コウ, ク, いさお","achievement, merits, success, honor, credit"
"劣","レツ, おと.る","inferiority, be inferior to, be worse"
"劫","コウ, ゴウ, キョウ, おびや.かす","threat, long ages"
"助","ジョ, たす.ける, たす.かる, す.ける, すけ","help, rescue, assist"
"努","ド, つと.める","toil, diligent, as much as possible"
"励","レイ, はげ.む, はげ.ます","encourage, be diligent, inspire"
"労","ロウ, ろう.する, いたわ.る, いた.ずき, ねぎら, つか.れる, ねぎら.う","labor, thank for, reward for, toil, trouble"
"劭","ショウ, つと.める","recommend, work hard, beautiful"
"劾","ガイ","censure, criminal investigation"
"効","コウ, き.く, ききめ, なら.う","merit, efficacy, efficiency, benefit"
"劼","カツ, ケチ","be careful, hard, strive"
"勅","チョク, いまし.める, みことのり","imperial order"
"勃","ボツ, ホツ, おこ.る, にわかに","suddenness, rise"
"勇","ユウ, いさ.む","courage, cheer up, be in high spirits, bravery, heroism"
"勁","ケイ, つよ.い","strong"
"勉","ベン, つと.める","exertion, endeavour, encourage, strive, make effort, diligent"
"勍","ケイ, つよ.い","strong, fierce"
"勘","カン","intuition, perception, check, compare, sixth sense"
"動","ドウ, うご.く, うご.かす","move, motion, change, confusion, shift, shake"
"務","ム, つと.める","task, duties"
"勗","キョク, ボウ, つと.める","be diligent"
"勒","ロク, くつわ","halter and bit"
"勤","キン, ゴン, つと.める, -づと.め, つと.まる, いそ.しむ","diligence, become employed, serve"
"勝","ショウ, か.つ, -が.ち, まさ.る, すぐ.れる, かつ","victory, win, prevail, excel"
"募","ボ, つの.る","recruit, campaign, gather (contributions), enlist, grow violent"
"勞","ロウ, ろう.する, いたわ.る, いた.ずき, ねぎら.う, つか.れる, ねぎら.い","thank for, reward for"
"勧","カン, ケン, すす.める","persuade, recommend, advise, encourage, offer"
"勢","セイ, ゼイ, いきお.い, はずみ","forces, energy, military strength"
"勣","セキ, シャク, いさお, つむ.ぐ","merit, achievement"
"勦","ソウ, ショウ","destroy, steal"
"勲","クン, いさお","meritorious deed, merit"
"勳","クン, いさお","meritorious deed, merits, rank"
"勵","レイ, はげ.む, はげ.ます","strive, encourage"
"勸","カン, ケン, すす.める","persuade, recommend, advise, encourage, offer"
