"勹","ホウ, つつ.む","wrapping enclosure, wrapping radical (no. 20)"
"勺","シャク","ladle, one tenth of a go, dip"
"勾","コウ, ク, かぎ, ま.がる","be bent, slope, capture"
"匂","にお.う, にお.い, にお.わせる","fragrant, stink, glow, insinuate, (kokuji)"
"勿","モチ, ブツ, ボツ, なか.れ, なし","not, must not, do not, be not"
"匁","もんめ, め","monme, 3.75 grams, (kokuji)"
"包","ホウ, つつ.む, くる.む","wrap, pack up, cover, conceal"
"匆","ソウ, いそが.しい","rush, hurry, be flustered"
"匈","キョウ","turmoil, Hungary"
"匍","ホ, は.う","crawl, creep"
"匐","ホク, フク","crawl"
"匏","ホ, ホウ, ひさご","gourd"
