"十","ジュウ, ジッ, ジュッ, とお, と, そ","ten"
"千","セン, ち","thousand"
"午","ゴ, うま","noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac"
"升","ショウ, ます","measuring box, 1.8 liter"
"卆","ソツ, シュツ, そっ.する, お.える, お.わる, ついに, にわか","soldier, private, die"
"卅","ソウ, さんじゅう","thirty"
"半","ハン, なか.ば","half, middle, odd number, semi-, part-"
"卉","キ, ケ, くさ","grass"
"卍","バン, マン, まんじ","swastika, gammadion, fylfot"
"協","キョウ","co-, cooperation"
"卒","ソツ, シュツ, そっ.する, お.える, お.わる, ついに, にわか","graduate, soldier, private, die"
"卓","タク","eminent, table, desk, high"
"単","タン, ひとえ","simple, one, single, merely"
"南","ナン, ナ, みなみ","south"
"卑","ヒ, いや.しい, いや.しむ, いや.しめる","lowly, base, vile, vulgar, despise"
"博","ハク, バク","Dr., command, esteem, win acclaim, Ph.D., exposition, fair"
