"厂","カン, かりがね","wild goose, trailing cliff radical (no. 27)"
"厄","ヤク","unlucky, misfortune, bad luck, disaster"
"厚","コウ, あつ.い, あか","thick, heavy, rich, kind, cordial, brazen, shameless"
"厘","リン","rin, 1/10 sen, 1/10 bu"
"厖","ボウ, おおき.い","large, mix"
"原","ゲン, はら","meadow, original, primitive, field, plain, prairie, tundra, wilderness"
"厠","シ, ショク, かわや","privy, toilet"
"厩","キュウ, うまや","barn, stable"
"厨","シュウ, ズ, チュ, チュウ, くりや","kitchen"
"厦","カ, サ, いえ","house"
"厥","ケツ, クツ, その, それ","that"
"厭","エン, オン, アン, オウ, ユウ, ヨウ, いや, あ.きる, いと.う, おさ.える","get tired of, satiate, bore, dislike, disagreeable, unwelcome"
"厳","ゲン, ゴン, おごそ.か, きび.しい, いか.めしい, いつくし","stern, strictness, severity, rigidity"
