"又","ユウ, また, また-, また.の-","or again, furthermore, on the other hand"
"及","キュウ, およ.ぶ, およ.び, および, およ.ぼす","reach out, exert, exercise, cause"
"叉","サ, シャ, サイ, また","fork in road, crotch"
"収","シュウ, おさ.める, おさ.まる","income, obtain, reap, pay, supply, store"
"双","ソウ, ふた, たぐい, ならぶ, ふたつ","pair, set, comparison, counter for pairs"
"反","ハン, ホン, タン, ホ, そ.る, そ.らす, かえ.す, かえ.る, -かえ.る","anti-"
"友","ユウ, とも","friend"
"取","シュ, と.る, と.り, と.り-, とり, -ど.り","take, fetch, take up"
"受","ジュ, う.ける, -う.け, う.かる","accept, undergo, answer (phone), take, get, catch, receive"
"叔","シュク","uncle, youth"
"叙","ジョ, つい.ず, ついで","confer, relate, narrate, describe"
"叛","ハン, ホン, そむ.く","disobey, defy, go back on, rebel, rebellion"
"叟","ソウ, シュウ, おきな","old person"
"叡","エイ, あき.らか","intelligence, imperial"
"叢","ソウ, ス, くさむら, むら.がる, むら","plexus, clump of bushes, thicket"
