"久","キュウ, ク, ひさ.しい","long time, old story"
"仏","ブツ, フツ, ほとけ","Buddha, the dead, France"
"仮","カ, ケ, かり, かり-","sham, temporary, interim, assumed (name), informal"
"件","ケン, くだん","affair, case, matter, item"
"任","ニン, まか.せる, まか.す","responsibility, duty, term, entrust to, appoint"
"似","ジ, に.る, ひ.る","becoming, resemble, counterfeit, imitate, suitable"
"余","ヨ, あま.る, あま.り, あま.す, あんま.り","too much, myself, surplus, other, remainder"
"価","カ, ケ, あたい","value, price"
"保","ホ, ホウ, たも.つ","protect, guarantee, keep, preserve, sustain, support"
"修","シュウ, シュ, おさ.める, おさ.まる","discipline, conduct oneself well, study, master"
"個","コ, カ","individual, counter for articles"
"備","ビ, そな.える, そな.わる, つぶさ.に","equip, provision, preparation"
"像","ゾウ","statue, picture, image, figure, portrait"
"再","サイ, サ, ふたた.び","again, twice, second time"
"刊","カン","publish, carve, engrave"
"判","ハン, バン, わか.る","judgement, judgment, signature, stamp, seal"
"制","セイ","system, law, rule"
"券","ケン","ticket"
"則","ソク, のっと.る, のり, すなわち","rule, law, follow, based on, model after"
"効","コウ, き.く, ききめ, なら.う","merit, efficacy, efficiency, benefit"
"務","ム, つと.める","task, duties"
"勢","セイ, ゼイ, いきお.い, はずみ","forces, energy, military strength"
"厚","コウ, あつ.い, あか","thick, heavy, rich, kind, cordial, brazen, shameless"
"可","カ, コク, -べ.き, -べ.し","can, passable, approval"
"営","エイ, いとな.む, いとな.み","camp, perform, build, conduct (business)"
"因","イン, よ.る, ちな.む","cause, factor, be associated with, depend on, be limited to"
"団","ダン, トン, かたまり, まる.い","group, association"
"圧","アツ, エン, オウ, お.す, へ.す, おさ.える, お.さえる","pressure, push, overwhelm, oppress, dominate"
"在","ザイ, あ.る","exist, outskirts, suburbs, located in"
"均","キン, なら.す","level, average"
"基","キ, もと, もとい","fundamentals, radical (chem), counter for machines, foundation"
"報","ホウ, むく.いる","report, news, reward, retribution"
"境","キョウ, ケイ, さかい","boundary, border, region"
"増","ゾウ, ま.す, ま.し, ふ.える, ふ.やす","increase, add, augment, gain, promote"
"夢","ム, ボウ, ゆめ, ゆめ.みる, くら.い","dream, vision, illusion"
"妻","サイ, つま","wife, spouse"
"婦","フ, よめ","lady, woman, wife, bride"
"容","ヨウ, い.れる","contain, form, looks"
"寄","キ, よ.る, -よ.り, よ.せる","draw near, stop in, bring near, gather, collect, send, forward"
"富","フ, フウ, と.む, とみ","wealth, enrich, abundant"
"導","ドウ, みちび.く","guidance, leading, conduct, usher"
"居","キョ, コ, い.る, -い, お.る","reside, to be, exist, live with"
"布","フ, ホ, ぬの, し.く, きれ","linen, cloth, spread, distribute"
"師","シ, いくさ","expert, teacher, master, model, exemplar, army (incl. counter), war"
"常","ジョウ, つね, とこ-","usual, ordinary, normal, common, regular, continually, always, long-lasting"
"張","チョウ, は.る, -は.り, -ば.り","counter for bows & stringed instruments, stretch, spread, put up (tent)"
"復","フク, また","restore, return to, revert, resume"
"志","シ, シリング, こころざ.す, こころざし","intention, plan, resolve, aspire, motive, hopes, shilling"
"応","オウ, ヨウ, -ノウ, あた.る, まさに, こた.える","apply, answer, yes, OK, reply, accept"
"快","カイ, こころよ.い","cheerful, pleasant, agreeable, comfortable"
"性","セイ, ショウ, さが","sex, gender, nature"
"情","ジョウ, セイ, なさ.け","feelings, emotion, passion, sympathy, circumstances, facts"
"慣","カン, な.れる, な.らす","accustomed, get used to, become experienced"
"承","ショウ, ジョウ, うけたまわ.る, う.ける","acquiesce, hear, listen to, be informed, receive"
"技","ギ, わざ","skill, art, craft, ability, feat, performance, vocation, arts"
"招","ショウ, まね.く","beckon, invite, summon, engage"
"授","ジュ, さず.ける, さず.かる","impart, instruct, grant, confer"
"採","サイ, と.る","pick, take, fetch, take up"
"接","セツ, ショウ, つ.ぐ","touch, contact, adjoin, piece together"
"損","ソン, そこ.なう, そこな.う, -そこ.なう, そこ.ねる, -そこ.ねる","damage, loss, disadvantage, hurt, injure"
"支","シ, ささ.える, つか.える, か.う","branch, support, sustain, branch radical (no. 65)"
"政","セイ, ショウ, まつりごと, まん","politics, government"
"故","コ, ゆえ, ふる.い, もと","happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently"
"断","ダン, た.つ, ことわ.る, さだ.める","severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting"
"旧","キュウ, ふる.い, もと","old times, old things, old friend, former, ex-"
"易","エキ, イ, やさ.しい, やす.い","easy, ready to, simple, fortune-telling, divination"
"暴","ボウ, バク, あば.く, あば.れる","outburst, rave, fret, force, violence, cruelty, outrage"
"条","ジョウ, チョウ, デキ, えだ, すじ","article, clause, counter for articles, clauses, paragraphs, etc., twig, item, stripe, streak"
"枝","シ, えだ","bough, branch, twig, limb, counter for branches"
"査","サ","investigate"
"格","カク, コウ, キャク, ゴウ","status, rank, capacity, character, case (law, grammar)"
"検","ケン, しら.べる","examination, investigate"
"構","コウ, かま.える, かま.う","posture, stance, appearance, build, set up"
"武","ブ, ム, たけ, たけ.し","warrior, military, chivalry, arms"
"比","ヒ, くら.べる","compare, race, ratio, Philippines"
"永","エイ, なが.い","eternity, long, lengthy"
"河","カ, かわ","river"
"液","エキ","fluid, liquid, juice, sap, secretion"
"混","コン, ま.じる, -ま.じり, ま.ざる, ま.ぜる, こ.む","mix, blend, confuse"
"減","ゲン, へ.る, へ.らす","dwindle, decrease, reduce, decline, curtail, get hungry"
"測","ソク, はか.る","fathom, plan, scheme, measure"
"準","ジュン, じゅん.じる, じゅん.ずる, なぞら.える, のり, ひと.しい, みずもり","semi-, correspond to, proportionate to, conform, imitate"
"演","エン","performance, act, play, render, stage"
"燃","ネン, も.える, も.やす, も.す","burn, blaze, glow"
"版","ハン","printing block, printing plate, edition, impression, label"
"犯","ハン, ボン, おか.す","crime, sin, offense"
"状","ジョウ","status quo, conditions, circumstances, form, appearance"
"独","ドク, トク, ひと.り","single, alone, spontaneously, Germany"
"率","ソツ, リツ, シュツ, ひき.いる","ratio, rate, proportion, %, factor, lead, spearhead, command"
"現","ゲン, あらわ.れる, あらわ.す, うつつ, うつ.つ","present, existing, actual"
"留","リュウ, ル, と.める, と.まる, とど.める, とど.まる, るうぶる","detain, fasten, halt, stop"
"略","リャク, ほぼ, はぶ.く, おか.す, おさ.める, はかりごと, はか.る","abbreviation, omission, outline, shorten, capture, plunder"
"破","ハ, やぶ.る, やぶ.れる, わ.れる","rend, rip, tear, break, destroy, defeat, frustrate"
"確","カク, コウ, たし.か, たし.かめる","assurance, firm, tight, hard, solid, confirm, clear, evident"
"示","ジ, シ, しめ.す","show, indicate, point out, express, display"
"祖","ソ","ancestor, pioneer, founder"
"禁","キン","prohibition, ban, forbid"
"移","イ, うつ.る, うつ.す","shift, move, change, drift, catch (cold, fire), pass into"
"程","テイ, ほど, -ほど","extent, degree, law, formula, distance, limits, amount"
"税","ゼイ","tax, duty"
"築","チク, きず.く","fabricate, build, construct"
"精","セイ, ショウ, しら.げる, くわ.しい","refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill"
"経","ケイ, キョウ, キン, へ.る, た.つ, たていと, はか.る, のり","sutra, longitude, pass thru, expire, warp"
"絶","ゼツ, た.える, た.やす, た.つ","discontinue, sever, cut off, abstain, interrupt, suppress, be beyond, without match, peerless, unparalleled"
"綿","メン, わた","cotton"
"総","ソウ, す.べて, すべ.て, ふさ","general, whole, all, full, total"
"編","ヘン, あ.む, -あ.み","compilation, knit, plait, braid, twist, editing, completed poem, part of a book"
"績","セキ","exploits, achievements, unreeling cocoons"
"罪","ザイ, つみ","guilt, sin, crime, fault, blame, offense"
"群","グン, む.れる, む.れ, むら, むら.がる","flock, group, crowd, herd, swarm, cluster"
"耕","コウ, たがや.す","till, plow, cultivate"
"職","ショク, ソク","post, employment, work"
"能","ノウ, よ.く, あた.う","ability, talent, skill, capacity"
"術","ジュツ, すべ","art, technique, skill, means, trick, resources, magic"
"製","セイ","made in..., manufacture"
"複","フク","duplicate, double, compound, multiple"
"規","キ","standard, measure"
"解","カイ, ゲ, と.く, と.かす, と.ける, ほど.く, ほぐ.す, わか.る, さと.る","unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute"
"設","セツ, もう.ける","establishment, provision, prepare"
"許","キョ, ゆる.す, もと","permit, approve"
"評","ヒョウ","evaluate, criticism, comment"
"講","コウ","lecture, club, association"
"識","シキ, し.る, しる.す","discriminating, know, write"
"豊","ホウ, ブ, ゆた.か, とよ","bountiful, excellent, rich"
"財","ザイ, サイ, ゾク, たから","property, money, wealth, assets"
"貧","ヒン, ビン, まず.しい","poverty, poor"
"責","セキ, せ.める","blame, condemn, censure"
"貿","ボウ","trade, exchange"
"資","シ","assets, resources, capital, funds, data, be conducive to, contribute to"
"賛","サン, たす.ける, たた.える","approve, praise, title or inscription on picture, assist, agree with"
"輸","ユ, シュ","transport, send, be inferior"
"述","ジュツ, の.べる","mention, state, speak, relate"
"迷","メイ, まよ.う","astray, be perplexed, in doubt, lost, err, illusion"
"退","タイ, しりぞ.く, しりぞ.ける, ひ.く, の.く, の.ける, ど.く","retreat, withdraw, retire, resign, repel, expel, reject"
"逆","ギャク, ゲキ, さか, さか.さ, さか.らう","inverted, reverse, opposite, wicked"
"造","ゾウ, つく.る, つく.り, -づく.り","create, make, structure, physique"
"過","カ, す.ぎる, す.ごす, あやま.ち, あやま.つ, よぎ.る, よ.ぎる","overdo, exceed, go beyond, error"
"適","テキ, かな.う","suitable, occasional, rare, qualified, capable"
"鉱","コウ, あらがね","mineral, ore"
"銅","ドウ, あかがね","copper"
"防","ボウ, ふせ.ぐ","ward off, defend, protect, resist"
"限","ゲン, かぎ.る, かぎ.り, -かぎ.り","limit, restrict, to best of ability"
"険","ケン, けわ.しい","precipitous, inaccessible place, impregnable position, steep place, sharp eyes"
"際","サイ, きわ, -ぎわ","occasion, side, edge, verge, dangerous, adventurous, indecent, time, when"
"雑","ザツ, ゾウ, まじ.える, まじ.る","miscellaneous"
"非","ヒ, あら.ず","un-, mistake, negative, injustice, non-"
"預","ヨ, あず.ける, あず.かる","deposit, custody, leave with, entrust to"
"領","リョウ, えり","jurisdiction, dominion, territory, fief, reign"
"額","ガク, ひたい","forehead, tablet, plaque, framed picture, sum, amount, volume"
"並","ヘイ, ホウ, な.み, なみ, なら.べる, なら.ぶ, なら.びに","row, and, besides, as well as, line up, rank with, rival, equal"
"乱","ラン, ロン, みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る","riot, war, disorder, disturb"
"乳","ニュウ, ちち, ち","milk, breasts"
"亡","ボウ, モウ, な.い, な.き-, ほろ.びる, ほろ.ぶ, ほろ.ぼす","deceased, the late, dying, perish"
"供","キョウ, ク, クウ, グ, そな.える, とも, -ども","submit, offer, present, serve (meal), accompany"
"値","チ, ね, あたい","price, cost, value"
"優","ユウ, ウ, やさ.しい, すぐ.れる, まさ.る","tenderness, excel, surpass, actor, superiority, gentleness"
"党","トウ, なかま, むら","party, faction, clique"
"冊","サツ, サク, ふみ","tome, counter for books, volume"
"処","ショ, ところ, -こ, お.る","dispose, manage, deal with, sentence, condemn, act, behave, place"
"刻","コク, きざ.む, きざ.み","engrave, cut fine, chop, hash, mince, time, carving"
"割","カツ, わ.る, わり, わ.り, わ.れる, さ.く","proportion, comparatively, divide, cut, separate, split"
"劇","ゲキ","drama, play"
"勤","キン, ゴン, つと.める, -づと.め, つと.まる, いそ.しむ","diligence, become employed, serve"
"危","キ, あぶ.ない, あや.うい, あや.ぶむ","dangerous, fear, uneasy"
"卵","ラン, たまご","egg, ovum, spawn, roe"
"収","シュウ, おさ.める, おさ.まる","income, obtain, reap, pay, supply, store"
"否","ヒ, いな, いや","negate, no, noes, refuse, decline, deny"
"吸","キュウ, す.う","suck, imbibe, inhale, sip"
"呼","コ, よ.ぶ","call, call out to, invite"
"善","ゼン, よ.い, い.い, よ.く, よし.とする","virtuous, good, goodness"
"困","コン, こま.る","quandary, become distressed, annoyed"
"城","ジョウ, セイ, しろ","castle"
"域","イキ","range, region, limits, stage, level"
"存","ソン, ゾン, ながら.える, あ.る, たも.つ, と.う","exist, suppose, be aware of, believe, feel"
"宅","タク","home, house, residence, our house, my husband"
"宇","ウ","eaves, roof, house, heaven"
"宙","チュウ","mid-air, air, space, sky, memorization, interval of time"
"宝","ホウ, たから","treasure, wealth, valuables"
"専","セン, もっぱ.ら","specialty, exclusive, mainly, solely"
"将","ショウ, ソウ, まさ.に, はた, まさ, ひきい.る, もって","leader, commander, general, admiral, or, and again, soon, from now on, just about"
"尊","ソン, たっと.い, とうと.い, たっと.ぶ, とうと.ぶ","revered, valuable, precious, noble, exalted"
"届","カイ, とど.ける, -とど.け, とど.く","deliver, reach, arrive, report, notify, forward"
"展","テン","unfold, expand"
"層","ソウ","stratum, social class, layer, story, floor"
"巻","カン, ケン, ま.く, まき, ま.き","scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)"
"干","カン, ほ.す, ほ.し-, -ぼ.し, ひ.る","dry, parch, ebb, recede, interfere, intercede"
"幼","ヨウ, おさな.い","infancy, childhood"
"庁","チョウ, テイ, やくしょ","government office"
"座","ザ, すわ.る","squat, seat, cushion, gathering, sit"
"延","エン, の.びる, の.べる, の.べ, の.ばす","prolong, stretching"
"律","リツ, リチ, レツ","rhythm, law, regulation, gauge, control"
"忘","ボウ, わす.れる","forget"
"批","ヒ","criticism, strike"
"担","タン, かつ.ぐ, にな.う","shouldering, carry, raise, bear"
"拝","ハイ, おが.む, おろが.む","worship, adore, pray to"
"拡","カク, コウ, ひろ.がる, ひろ.げる, ひろ.める","broaden, extend, expand, enlarge"
"捨","シャ, す.てる","discard, throw away, abandon, resign, reject, sacrifice"
"探","タン, さぐ.る, さが.す","grope, search, look for"
"操","ソウ, サン, みさお, あやつ.る","maneuver, manipulate, operate, steer, chastity, virginity, fidelity"
"敬","ケイ, キョウ, うやま.う","awe, respect, honor, revere"
"晩","バン","nightfall, night"
"暖","ダン, ノン, あたた.か, あたた.かい, あたた.まる, あたた.める","warmth"
"暮","ボ, く.れる, く.らす","evening, twilight, season's end, livelihood, make a living, spend time"
"机","キ, つくえ","desk, table"
"枚","マイ, バイ","sheet of..., counter for flat thin objects or sheets"
"棒","ボウ","rod, stick, cane, pole, club, line"
"権","ケン, ゴン, おもり, かり, はか.る","authority, power, rights"
"欲","ヨク, ほっ.する, ほ.しい","longing, covetousness, greed, passion, desire, craving"
"段","ダン, タン","grade, steps, stairs"
"泉","セン, いずみ","spring, fountain"
"済","サイ, セイ, す.む, -ず.み, -ずみ, す.まない, す.ます, -す.ます, すく.う, な.す, わたし, わた.る","settle (debt, etc.), relieve (burden), finish, come to an end, excusable, need not"
"灰","カイ, はい","ashes, puckery juice, cremate"
"片","ヘン, かた-, かた","one-sided, leaf, sheet, right-side kata radical (no. 91)"
"異","イ, こと, こと.なる, け","uncommon, different, queerness, strangeness, wonderful, curious, unusual"
"疑","ギ, うたが.う","doubt, distrust, be suspicious, question"
"痛","ツウ, いた.い, いた.む, いた.ましい, いた.める","pain, hurt, damage, bruise"
"看","カン, み.る","watch over, see"
"砂","サ, シャ, すな","sand"
"窓","ソウ, ス, まど, てんまど, けむだし","window, pane"
"簡","カン, ケン, えら.ぶ, ふだ","simplicity, brevity"
"紅","コウ, ク, べに, くれない, あか.い","crimson, deep red"
"純","ジュン","genuine, purity, innocence, net (profit)"
"署","ショ","signature, govt office, police station"
"翌","ヨク","the following, next"
"背","ハイ, せ, せい, そむ.く, そむ.ける","stature, height, back, behind, disobey, defy, go back on, rebel"
"胸","キョウ, むね, むな-","bosom, breast, chest, heart, feelings"
"脳","ノウ, ドウ, のうずる","brain, memory"
"腹","フク, はら","abdomen, belly, stomach"
"臓","ゾウ, はらわた","entrails, viscera, bowels"
"若","ジャク, ニャク, ニャ, わか.い, わか-, も.しくわ, も.し, も.しくは, ごと.し","young, if, perhaps, possibly, low number, immature"
"著","チョ, チャク, あらわ.す, いちじる.しい","renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work"
"蒸","ジョウ, セイ, む.す, む.れる, む.らす","steam, heat, sultry, foment, get musty"
"蔵","ゾウ, ソウ, くら, おさ.める, かく.れる","storehouse, hide, own, have, possess"
"装","ソウ, ショウ, よそお.う, よそお.い","attire, dress, pretend, disguise, profess"
"裏","リ, うら","back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side"
"補","ホ, おぎな.う","supplement, supply, make good, offset, compensate, assistant, learner"
"訪","ホウ, おとず.れる, たず.ねる, と.う","call on, visit, look up, offer sympathy"
"詞","シ, ことば","part of speech, words, poetry"
"誌","シ","document, records"
"認","ニン, みと.める, したた.める","acknowledge, witness, discern, recognize, appreciate, believe"
"誤","ゴ, あやま.る, -あやま.る","mistake, err, do wrong, mislead"
"論","ロン, あげつら.う","argument, discourse"
"諸","ショ, もろ","various, many, several, together"
"警","ケイ, いまし.める","admonish, commandment"
"賃","チン","fare, fee, hire, rent, wages, charge"
"郵","ユウ","mail, stagecoach stop"
"針","シン, はり","needle, pin, staple, stinger"
"閉","ヘイ, と.じる, と.ざす, し.める, し.まる, た.てる","closed, shut"
"降","コウ, ゴ, お.りる, お.ろす, ふ.る, ふ.り, くだ.る, くだ.す","descend, precipitate, fall, surrender"
"除","ジョ, ジ, のぞ.く, -よ.け","exclude, division (x/3), remove, abolish, cancel, except"
"難","ナン, かた.い, -がた.い, むずか.しい, むづか.しい, むつか.しい, -にく.い","difficult, impossible, trouble, accident, defect"
"革","カク, かわ","leather, skin, reform, become serious"
"頂","チョウ, いただ.く, いただき","place on the head, receive, top of head, top, summit, peak"
"骨","コツ, ほね","skeleton, bone, remains, frame"
"歳","サイ, セイ, とし, とせ, よわい","year-end, age, occasion, opportunity"
"与","ヨ, あた.える, あずか.る, くみ.する, ともに","bestow, participate in, give, award, impart, provide, cause, gift, godsend"
"違","イ, ちが.う, ちが.い, ちが.える, -ちが.える, たが.う, たが.える","difference, differ"
"環","カン, わ","ring, circle, loop"
"欧","オウ, うた.う, は.く","Europe"
"被","ヒ, こうむ.る, おお.う, かぶ.る, かぶ.せる","incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving"
"渡","ト, わた.る, -わた.る, わた.す","transit, ford, ferry, cross, import, deliver, diameter, migrate"
"含","ガン, ふく.む, ふく.める","contain, include, hold in the mouth, bear in mind, understand, cherish"
"況","キョウ, まし.て, いわ.んや, おもむき","condition, situation"
"突","トツ, カ, つ.く","stab, protruding, thrust, pierce, prick, collision, sudden"
"湾","ワン, いりえ","gulf, bay, inlet"
"捜","ソウ, シュ, シュウ, さが.す","search, look for, locate"
"超","チョウ, こ.える, こ.す","transcend, super-, ultra-"
"療","リョウ","heal, cure"
"捕","ホ, と.らえる, と.らわれる, と.る, とら.える, とら.われる, つか.まえる, つか.まる","catch, capture"
"介","カイ","jammed in, shellfish, mediate, concern oneself with"
"迎","ゲイ, むか.える","welcome, meet, greet"
"販","ハン","marketing, sell, trade"
"幅","フク, はば","hanging scroll, width"
"彼","ヒ, かれ, かの, か.の","he, that, the"
"般","ハン","carrier, carry, all, general, sort, kind"
"舞","ブ, ま.う, -ま.う, まい","dance, flit, circle, wheel"
"込","-こ.む, こ.む, こ.み, -こ.み, こ.める","crowded, mixture, in bulk, included, (kokuji)"
"換","カン, か.える, -か.える, か.わる","interchange, period, change, convert, replace, renew"
"占","セン, し.める, うらな.う","fortune-telling, divining, forecasting, occupy, hold, have, get, take"
"頼","ライ, たの.む, たの.もしい, たよ.る","trust, request"
"途","ト, みち","route, way, road"
"抜","バツ, ハツ, ハイ, ぬ.く, -ぬ.く, ぬ.き, ぬ.ける, ぬ.かす, ぬ.かる","slip out, extract, pull out, pilfer, quote, remove, omit"
"伸","シン, の.びる, の.ばす, の.べる, の.す","expand, stretch, extend, lengthen, increase"
"爆","バク, は.ぜる","bomb, burst open, pop, split"
"普","フ, あまね.く, あまねし","universal, wide(ly), generally, Prussia"
