"草","ソウ, くさ, くさ-, -ぐさ","grass, weeds, herbs, pasture, write, draft"
"虫","チュウ, キ, むし","insect, bug, temper"
"玉","ギョク, たま, たま-, -だま","jewel, ball"
"王","オウ, -ノウ","king, rule, magnate"
"石","セキ, シャク, コク, いし","stone"
"竹","チク, たけ","bamboo"
"糸","シ, いと","thread"
"貝","バイ, かい","shellfish"
"数","スウ, ス, サク, ソク, シュ, かず, かぞ.える, しばしば, せ.める, わずらわ.しい","number, strength, fate, law, figures"
"形","ケイ, ギョウ, かた, -がた, かたち, なり","shape, form, style"
"細","サイ, ほそ.い, ほそ.る, こま.か, こま.かい","dainty, get thin, taper, slender, narrow, detailed, precise"
"点","テン, つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち","spot, point, mark, speck, decimal point"
"丸","ガン, まる, まる.める, まる.い","round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away"
"交","コウ, まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも","mingle, mixing, association, coming & going"
"角","カク, かど, つの","angle, corner, square, horn, antlers"
"直","チョク, ジキ, ジカ, ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ","straightaway, honesty, frankness, fix, repair"
"線","セン, すじ","line, track"
"矢","シ, や","dart, arrow"
"毛","モウ, け","fur, hair, feather, down"
"内","ナイ, ダイ, うち","inside, within, between, among, house, home"
"園","エン, その","park, garden, yard, farm"
"谷","コク, たに, きわ.まる","valley"
"原","ゲン, はら","meadow, original, primitive, field, plain, prairie, tundra, wilderness"
"里","リ, さと","ri, village, parent's home, league"
"雪","セツ, ゆき","snow"
"雲","ウン, くも, -ぐも","cloud"
"岩","ガン, いわ","boulder, rock, cliff"
"星","セイ, ショウ, ほし, -ぼし","star, spot, dot, mark"
"戸","コ, と","door, counter for houses, door radical (no. 63)"
"寺","ジ, てら","Buddhist temple"
"記","キ, しる.す","scribe, account, narrative"
"絵","カイ, エ","picture, drawing, painting, sketch"
"晴","セイ, は.れる, は.れ, は.れ-, -ば.れ, は.らす","clear up"
"才","サイ","genius, years old, cubic shaku"
"算","サン, そろ","calculate, divining, number, abacus, probability"
"馬","バ, うま, うま-, ま","horse"
"羽","ウ, は, わ, はね","feathers, counter for birds, rabbits"
"鳴","メイ, な.く, な.る, な.らす","chirp, cry, bark, sound, ring, echo, honk"
"麦","バク, むぎ","barley, wheat"
"米","ベイ, マイ, メエトル, こめ, よね","rice, USA, metre"
"黄","コウ, オウ, き, こ-","yellow"
"活","カツ, い.きる, い.かす, い.ける","lively, resuscitation, being helped, living"
"汽","キ","vapor, steam"
"弓","キュウ, ゆみ","bow, bow (archery, violin)"
"組","ソ, く.む, くみ, -ぐみ","association, braid, plait, construct, assemble, unite, cooperate, grapple"
"船","セン, ふね, ふな-","ship, boat"
"当","トウ, あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし","hit, right, appropriate, himself"
"科","カ","department, course, section"
"刀","トウ, かたな, そり","sword, saber, knife"
"番","バン, つが.い","turn, number in a series"
"丁","チョウ, テイ, チン, トウ, チ, ひのと","street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign"
"両","リョウ, てる, ふたつ","both, old Japanese coin, counter for carriages (e.g., in a train), two"
"予","ヨ, シャ, あらかじ.め","beforehand, previous, myself, I"
"他","タ, ほか","other, another, the others"
"係","ケイ, かか.る, かかり, -がかり, かか.わる","person in charge, connection, duty, concern oneself"
"倍","バイ","double, twice, times, fold"
"全","ゼン, まった.く, すべ.て","whole, entire, all, complete, fulfill"
"具","グ, そな.える, つぶさ.に","tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture"
"列","レツ, レ","file, row, rank, tier, column"
"助","ジョ, たす.ける, たす.かる, す.ける, すけ","help, rescue, assist"
"勝","ショウ, か.つ, -が.ち, まさ.る, すぐ.れる, かつ","victory, win, prevail, excel"
"化","カ, ケ, ば.ける, ば.かす, ふ.ける, け.する","change, take the form of, influence, enchant, delude, -ization"
"反","ハン, ホン, タン, ホ, そ.る, そ.らす, かえ.す, かえ.る, -かえ.る","anti-"
"取","シュ, と.る, と.り, と.り-, とり, -ど.り","take, fetch, take up"
"受","ジュ, う.ける, -う.け, う.かる","accept, undergo, answer (phone), take, get, catch, receive"
"号","ゴウ, さけ.ぶ, よびな","nickname, number, item, title, pseudonym, name, call"
"向","コウ, む.く, む.い, -む.き, む.ける, -む.け, む.かう, む.かい, む.こう, む.こう-, むこ, むか.い","yonder, facing, beyond, confront, defy, tend toward, approach"
"君","クン, きみ, -ぎみ","mister, you, ruler, male name suffix"
"命","メイ, ミョウ, いのち","fate, command, decree, destiny, life, appoint"
"和","ワ, オ, カ, やわ.らぐ, やわ.らげる, なご.む, なご.やか, あ.える","harmony, Japanese style, peace, soften, Japan"
"商","ショウ, あきな.う","make a deal, selling, dealing in, merchant"
"坂","ハン, さか","slope, incline, hill"
"央","オウ","center, middle"
"委","イ, ゆだ.ねる","committee, entrust to, leave to, devote, discard"
"守","シュ, ス, まも.る, まも.り, もり, -もり, かみ","guard, protect, defend, obey"
"定","テイ, ジョウ, さだ.める, さだ.まる, さだ.か","determine, fix, establish, decide"
"実","ジツ, シツ, み, みの.る, まこと, みの, みち.る","reality, truth, seed, fruit, nut"
"客","キャク, カク","guest, visitor, customer, client"
"宮","キュウ, グウ, ク, クウ, みや","Shinto shrine, constellations, palace, princess"
"宿","シュク, やど, やど.る, やど.す","inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling"
"対","タイ, ツイ, あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う","vis-a-vis, opposite, even, equal, versus, anti-, compare"
"局","キョク, つぼね","bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment"
"岸","ガン, きし","beach"
"島","トウ, しま","island"
"州","シュウ, ス, す","state, province"
"帳","チョウ, とばり","notebook, account book, album, curtain, veil, net, tent"
"平","ヘイ, ビョウ, ヒョウ, たい.ら, たい.らげる, ひら","even, flat, peace"
"幸","コウ, さいわ.い, さち, しあわ.せ","happiness, blessing, fortune"
"庫","コ, ク, くら","warehouse, storehouse"
