"丿","ヘツ, えい, よう","katakana no radical (no. 4)"
"乃","ナイ, ダイ, ノ, アイ, の, すなわ.ち, なんじ","from, possessive particle, whereupon, accordingly"
"乂","ガイ, カイ, ゲ, おさ.める, か.る","mow, cut grass, subdue"
"久","キュウ, ク, ひさ.しい","long time, old story"
"之","シ, の, これ, ゆく, この","of, this"
"乏","ボウ, とぼ.しい, とも.しい","destitution, scarce, limited"
"乎","コ, オ, か, ああ, かな, や, よ, を","question mark, ?"
"乍","サ, サク, -なが.ら, たちま.ち","though, notwithstanding, while, during, both, all"
"乕","コ, とら","tiger, brave, fierce, surname"
"乖","カイ, そむ.く, もとる","oppose, disobey"
"乗","ジョウ, ショウ, の.る, -の.り, の.せる","ride, power, multiplication, record, counter for vehicles, board, mount, join"
"乘","ジョウ, の.る, の.せる","power, multiplication, record, counter for vehicles"
