"一","イチ, イツ, ひと-, ひと.つ","one, one radical (no.1)"
"七","シチ, なな, なな.つ, なの","seven"
"丁","チョウ, テイ, チン, トウ, チ, ひのと","street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign"
"下","カ, ゲ, した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","below, down, descend, give, low, inferior"
"三","サン, ゾウ, み, み.つ, みっ.つ","three"
"上","ジョウ, ショウ, シャン, うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る","above, up"
"丈","ジョウ, たけ, だけ","length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely"
"万","マン, バン, よろず","ten thousand, 10,000"
"与","ヨ, あた.える, あずか.る, くみ.する, ともに","bestow, participate in, give, award, impart, provide, cause, gift, godsend"
"丑","チュウ, うし","sign of the ox or cow, 1-3AM, second sign of Chinese zodiac"
"不","フ, ブ","negative, non-, bad, ugly, clumsy"
"丐","カイ, こ.う","beggar, beg, give"
"且","ショ, ソ, ショウ, か.つ","moreover, also, furthermore"
"丘","キュウ, おか","hill, knoll"
"世","セイ, セ, ソウ, よ","generation, world, society, public"
"丙","ヘイ, ひのえ","third class, 3rd, 3rd calendar sign"
"丕","ヒ, おお.きい","large, great, grand, glorious, distinguished"
"丗","セイ, セ, ソウ, よ, さんじゅう","thirty"
"丞","ジョウ, ショウ, すく.う, たす.ける","help"
"両","リョウ, てる, ふたつ","both, old Japanese coin, counter for carriages (e.g., in a train), two"
"並","ヘイ, ホウ, な.み, なみ, なら.べる, なら.ぶ, なら.びに","row, and, besides, as well as, line up, rank with, rival, equal"
