"儿","ジン, ニン, がい","legs radical (no. 10)"
"兀","コツ","high & level, lofty, bald, dangerous"
"允","イン, じょう, まこと.に, ゆるす","license, sincerity, permit"
"元","ゲン, ガン, もと","beginning, former time, origin"
"兄","ケイ, キョウ, あに","elder brother, big brother"
"兇","キョウ, おそ.れる, わる.い","wickedness"
"光","コウ, ひか.る, ひかり","ray, light"
"充","ジュウ, あ.てる, み.たす","allot, fill"
"先","セン, さき, ま.ず","before, ahead, previous, future, precedence"
"兆","チョウ, きざ.す, きざ.し","portent, 10**12, trillion, sign, omen, symptoms"
"克","コク, か.つ","overcome, kindly, skillfully"
"児","ジ, ニ, ゲイ, こ, -こ, -っこ","newborn babe, child, young of animals"
"兌","ダ, エイ, エツ, タイ, よろこ.ぶ","exchange"
"兎","ト, ツ, うさぎ","rabbit, hare"
"免","メン, まぬか.れる, まぬが.れる","excuse, dismissal"
"兒","ジ, ニ, ゲイ, こ","child, young of animals"
"兔","ト, ツ, うさぎ","rabbit, hare"
"党","トウ, なかま, むら","party, faction, clique"
"兜","トウ, ト, かぶと","helmet, head piece"
"兢","キョウ, おそ.れる, つつ.しむ","discreet, careful"
