"冂","キョウ, ケイ","upside-down box radical (no. 13)"
"円","エン, まる.い, まる, まど, まど.か, まろ.やか","circle, yen, round"
"内","ナイ, ダイ, うち","inside, within, between, among, house, home"
"冊","サツ, サク, ふみ","tome, counter for books, volume"
"册","サツ, サク, ふみ","counter for books, volume"
"冉","ゼン, ネン, あや.うい","red, tan"
"再","サイ, サ, ふたた.び","again, twice, second time"
"冏","ケイ, キョウ, ソウ, あきらか","light, clear, bright"
"冒","ボウ, おか.す","risk, face, defy, dare, damage, assume (a name)"
"冑","チュウ, かぶと, よろい","helmet"
"冕","ベン, メン, かんむり","crown"
