"刀","トウ, かたな, そり","sword, saber, knife"
"刂","トウ","knife, standing sword radical (no. 18)"
"刃","ジン, ニン, は, やいば, き.る","blade, sword, edge"
"刄","ジン, ニン, は, やいば, き.る","blade, sword, edge"
"刈","ガイ, カイ, か.る","reap, cut, clip, trim, prune"
"切","セツ, サイ, き.る, -き.る, き.り, -き.り, -ぎ.り, き.れる, -き.れる, き.れ, -き.れ, -ぎ.れ","cut, cutoff, be sharp"
"分","ブン, フン, ブ, わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ","part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100"
"刊","カン","publish, carve, engrave"
"刑","ケイ","punish, penalty, sentence, punishment"
"列","レツ, レ","file, row, rank, tier, column"
"刔","ケツ, えぐ.る","scoop out, gouge"
"刎","フン, は.ねる, くびは.ねる","decapitate"
"初","ショ, はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め","first time, beginning"
"判","ハン, バン, わか.る","judgement, judgment, signature, stamp, seal"
"別","ベツ, わか.れる, わ.ける","separate, branch off, diverge, fork, another, extra, specially"
"利","リ, き.く","profit, advantage, benefit"
"刪","サン, けず.る","cut down"
"券","ケン","ticket"
"刻","コク, きざ.む, きざ.み","engrave, cut fine, chop, hash, mince, time, carving"
"刷","サツ, す.る, -ず.り, -ずり, は.く","printing, print, brush"
"刺","シ, さ.す, さ.さる, さ.し, さし, とげ","thorn, pierce, stab, prick, sting, calling card"
"制","セイ","system, law, rule"
"到","トウ, いた.る","arrival, proceed, reach, attain, result in"
"刮","カツ, こそ.げる, けず.る","scrape off"
"刳","コ, く.る, えぐ.る","clear, serene, cold"
"刹","セチ, セツ, サツ","temple"
"削","サク, けず.る, はつ.る, そ.ぐ","plane, sharpen, whittle, pare, shave"
"前","ゼン, まえ, -まえ","in front, before"
"則","ソク, のっと.る, のり, すなわち","rule, law, follow, based on, model after"
"剃","テイ, まい, そ.る, す.る","shave"
"剏","ソウ, ショウ, はじ.める","begin, be damaged, break, fall"
"剄","ケイ, くびき.る","beheading"
"剋","コク, かつ","victory"
"剌","ラツ, もと.る","opposed, biased"
"剣","ケン, つるぎ","sabre, sword, blade, clock hand"
"剛","ゴウ","sturdy, strength"
"剤","ザイ, スイ, セイ, かる, けず.る","dose, medicine, drug"
"剥","ハク, ホク, へ.ぐ, へず.る, む.く, む.ける, は.がれる, は.ぐ, は.げる, は.がす","come off, peel, fade, discolor"
"剖","ボウ","divide"
"剔","テキ, テイ, えぐ.る, そ.る","cutting"
"剝","ハク, ホク, へ.ぐ, へず.る, む.く, む.ける, は.がれる, は.ぐ, は.げる, は.がす","come off, peel, fade, discolor"
"剰","ジョウ, あまつさえ, あま.り, あま.る","surplus, besides"
"副","フク","vice-, assistant, aide, duplicate, copy"
"剪","セン, き.る, つ.む","clip, snip, cut"
"剱","ケン, つるぎ","sword"
"割","カツ, わ.る, わり, わ.り, わ.れる, さ.く","proportion, comparatively, divide, cut, separate, split"
"創","ソウ, ショウ, つく.る, はじ.める, きず, けず.しける","genesis, wound, injury, hurt, start, originate"
"剴","ガイ, カイ","scythe, suitability"
"剿","ソウ, ショウ","destroy"
"剽","ヒョウ, おびや.かす, さす","threat"
"劃","カク, わ.かつ, くぎ.る","divide"
"劇","ゲキ","drama, play"
"劉","リュウ, ル, ころ.す","weapon of war, logging axe, kill en masse, peeling (paint off a wall, etc), sparse, faded"
"劍","ケン, つるぎ","sword"
"劈","ヘキ, ヒャク, つんざ.く, さく","break, tear, split"
"劔","ケン, つるぎ","sword"
"劒","ケン, つるぎ","sword"
