"卩","セツ, わりふ","seal radical (no. 26)"
"卯","ボウ, モウ, う","sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east"
"卮","シ, さかずき","large goblet, apt, fitting"
"印","イン, しるし, -じるし, しる.す","stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India"
"危","キ, あぶ.ない, あや.うい, あや.ぶむ","dangerous, fear, uneasy"
"却","キャク, かえ.って, しりぞ.く, しりぞ.ける","instead, on the contrary, rather, step back, withdraw, retreat"
"即","ソク, つ.く, つ.ける, すなわ.ち","instant, namely, as is, conform, agree, adapt"
"卵","ラン, たまご","egg, ovum, spawn, roe"
"卷","カン, ケン, ま.く, まき","volume, book, part"
"卸","シャ, おろ.す, おろし, おろ.し","wholesale"
"卿","ケイ, キョウ, きみ","you, lord, secretary, state minister"
